# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
0 0.0221327
0.000976562 0.0222248
0.00195312 0.0223432
0.00292969 0.0224575
0.00390625 0.0225304
0.00488281 0.0225345
0.00585938 0.0224659
0.00683594 0.0223465
0.0078125 0.0222159
0.00878906 0.022116
0.00976562 0.0220759
0.0107422 0.0221024
0.0117188 0.0221804
0.0126953 0.0222829
0.0136719 0.0223835
0.0146484 0.0224684
0.015625 0.022541
0.0166016 0.0226185
0.0175781 0.0227232
0.0185547 0.0228719
0.0195312 0.0230677
0.0205078 0.0232988
0.0214844 0.0235426
0.0224609 0.0237733
0.0234375 0.02397
0.0244141 0.0241214
0.0253906 0.0242268
0.0263672 0.0242926
0.0273438 0.024327
0.0283203 0.0243362
0.0292969 0.0243215
0.0302734 0.0242802
0.03125 0.0242083
0.0322266 0.0241038
0.0332031 0.0239691
0.0341797 0.0238124
0.0351562 0.023646
0.0361328 0.0234847
0.0371094 0.0233432
0.0380859 0.0232339
0.0390625 0.0231654
0.0400391 0.0231421
0.0410156 0.0231645
0.0419922 0.0232292
0.0429688 0.0233306
0.0439453 0.0234614
0.0449219 0.0236142
0.0458984 0.023782
0.046875 0.0239589
0.0478516 0.024139
0.0488281 0.0243152
0.0498047 0.0244777
0.0507812 0.0246131
0.0517578 0.0247056
0.0527344 0.0247407
0.0537109 0.0247101
0.0546875 0.0246161
0.0556641 0.0244749
0.0566406 0.0243146
0.0576172 0.0241697
0.0585938 0.0240725
0.0595703 0.0240442
0.0605469 0.0240898
0.0615234 0.0241974
0.0625 0.0243441
0.0634766 0.0245047
0.0644531 0.0246598
0.0654297 0.0248008
0.0664062 0.0249295
0.0673828 0.025053
0.0683594 0.0251765
0.0693359 0.0252998
0.0703125 0.0254167
0.0712891 0.0255202
0.0722656 0.0256091
0.0732422 0.0256924
0.0742188 0.0257892
0.0751953 0.0259209
0.0761719 0.0261014
0.0771484 0.0263266
0.078125 0.0265712
0.0791016 0.0267869
0.0800781 0.0268842
0.0810547 0.0269066
0.0820312 0.0268677
0.0830078 0.0267658
0.0839844 0.0265634
0.0849609 0.0263084
0.0859375 0.0260544
0.0869141 0.02583
0.0878906 0.0256462
0.0888672 0.0255015
0.0898438 0.0253899
0.0908203 0.0253074
0.0917969 0.0252546
0.0927734 0.0252349
0.09375 0.0252505
0.0947266 0.0252982
0.0957031 0.0253688
0.0966797 0.0254503
0.0976562 0.0255324
0.0986328 0.0256105
0.0996094 0.0256871
0.100586 0.0257685
0.101562 0.0258603
0.102539 0.0259626
0.103516 0.0260681
0.104492 0.0261643
0.105469 0.0262377
0.106445 0.0262782
0.107422 0.0262816
0.108398 0.0262494
0.109375 0.0261864
0.110352 0.026098
0.111328 0.0259897
0.112305 0.0258685
0.113281 0.0257456
0.114258 0.0256373
0.115234 0.0255627
0.116211 0.0255389
0.117188 0.0255728
0.118164 0.0256556
0.119141 0.0257615
0.120117 0.0258527
0.121094 0.0258897
0.12207 0.025842
0.123047 0.0256984
0.124023 0.0254706
0.125 0.0251896
0.125977 0.0248973
0.126953 0.0246358
0.12793 0.024437
0.128906 0.0243167
0.129883 0.0242743
0.130859 0.0242954
0.131836 0.0243586
0.132812 0.0244418
0.133789 0.0245273
0.134766 0.0246046
0.135742 0.0246712
0.136719 0.0247301
0.137695 0.024787
0.138672 0.0248461
0.139648 0.0249071
0.140625 0.0249648
0.141602 0.0250102
0.142578 0.0250342
0.143555 0.0250312
0.144531 0.0250019
0.145508 0.0249534
0.146484 0.0248957
0.147461 0.0248373
0.148438 0.0247812
0.149414 0.0247232
0.150391 0.0246543
0.151367 0.0245651
0.152344 0.0244515
0.15332 0.0243173
0.154297 0.0241739
0.155273 0.0240351
0.15625 0.0239119
0.157227 0.0238072
0.158203 0.0237152
0.15918 0.0236241
0.160156 0.0235212
0.161133 0.0233984
0.162109 0.0232537
0.163086 0.0230907
0.164062 0.0229146
0.165039 0.0227283
0.166016 0.0225306
0.166992 0.0223173
0.167969 0.0220837
0.168945 0.0218279
0.169922 0.0215515
0.170898 0.0212589
0.171875 0.0209557
0.172852 0.0206477
0.173828 0.0203418
0.174805 0.0200492
0.175781 0.0197874
0.176758 0.0195791
0.177734 0.0194473
0.178711 0.0194062
0.179688 0.0194537
0.180664 0.0195681
0.181641 0.0197131
0.182617 0.019849
0.183594 0.0199466
0.18457 0.019997
0.185547 0.0200125
0.186523 0.0200175
0.1875 0.0200339
0.188477 0.0200678
0.189453 0.0201057
0.19043 0.0201219
0.191406 0.0200942
0.192383 0.0200207
0.193359 0.0199269
0.194336 0.0198604
0.195312 0.0198714
0.196289 0.0199899
0.197266 0.0202093
0.198242 0.0204849
0.199219 0.0207498
0.200195 0.0209421
0.201172 0.0210296
0.202148 0.0210222
0.203125 0.0209652
0.204102 0.0209165
0.205078 0.0209181
0.206055 0.0209768
0.207031 0.0210612
0.208008 0.0211189
0.208984 0.0211043
0.209961 0.0210041
0.210938 0.0208487
0.211914 0.0207043
0.212891 0.0206474
0.213867 0.0207358
0.214844 0.0209868
0.21582 0.0213723
0.216797 0.0218323
0.217773 0.0222994
0.21875 0.0227227
0.219727 0.023082
0.220703 0.0233865
0.22168 0.0236621
0.222656 0.0239339
0.223633 0.0242147
0.224609 0.0245016
0.225586 0.0247835
0.226562 0.0250521
0.227539 0.0253106
0.228516 0.025574
0.229492 0.0258631
0.230469 0.0261925
0.231445 0.0265611
0.232422 0.0269476
0.233398 0.0272933
0.234375 0.0275468
0.235352 0.0277468
0.236328 0.0279072
0.237305 0.0280319
0.238281 0.0281217
0.239258 0.0281715
0.240234 0.0281623
0.241211 0.0281176
0.242188 0.0280702
0.243164 0.0280288
0.244141 0.0279982
0.245117 0.0279821
0.246094 0.0279829
0.24707 0.0280015
0.248047 0.0280378
0.249023 0.028092
0.25 0.0281647
0.250977 0.0282566
0.251953 0.0283667
0.25293 0.0284898
0.253906 0.0286159
0.254883 0.0287319
0.255859 0.0288272
0.256836 0.0288977
0.257812 0.0289427
0.258789 0.0289681
0.259766 0.0289834
0.260742 0.028992
0.261719 0.0289953
0.262695 0.0289941
0.263672 0.0289888
0.264648 0.0289799
0.265625 0.0289678
0.266602 0.0289531
0.267578 0.028936
0.268555 0.0289171
0.269531 0.0288968
0.270508 0.0288752
0.271484 0.0288526
0.272461 0.028829
0.273438 0.028804
0.274414 0.0287774
0.275391 0.0287493
0.276367 0.0287198
0.277344 0.02869
0.27832 0.0286609
0.279297 0.0286345
0.280273 0.0286121
0.28125 0.0285935
0.282227 0.028577
0.283203 0.0285606
0.28418 0.0285431
0.285156 0.028524
0.286133 0.028503
0.287109 0.0284801
0.288086 0.0284556
0.289062 0.0284294
0.290039 0.0284018
0.291016 0.0283729
0.291992 0.0283428
0.292969 0.0283116
0.293945 0.0282795
0.294922 0.0282465
0.295898 0.0282128
0.296875 0.0281785
0.297852 0.0281436
0.298828 0.0281082
0.299805 0.0280724
0.300781 0.0280363
0.301758 0.0279999
0.302734 0.0279632
0.303711 0.0279264
0.304688 0.0278895
0.305664 0.0278525
0.306641 0.0278155
0.307617 0.0277785
0.308594 0.0277415
0.30957 0.0277046
0.310547 0.0276678
0.311523 0.0276312
0.3125 0.0275947
