# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
0.274414 0.0297103
0.275391 0.0297331
0.276367 0.0296891
0.277344 0.0295871
0.27832 0.0294601
0.279297 0.0293546
0.280273 0.0293163
0.28125 0.0293771
0.282227 0.0295483
0.283203 0.0298197
0.28418 0.0301642
0.285156 0.0305457
0.286133 0.0309208
0.287109 0.0312084
0.288086 0.0314196
0.289062 0.0315855
0.290039 0.0317149
0.291016 0.0318096
0.291992 0.0318624
0.292969 0.0318489
0.293945 0.0317162
0.294922 0.0315866
0.295898 0.0315212
0.296875 0.0315637
0.297852 0.0317353
0.298828 0.0320271
0.299805 0.0323901
0.300781 0.0326413
0.301758 0.0327822
0.302734 0.0328766
0.303711 0.0329438
0.304688 0.0329927
0.305664 0.0330276
0.306641 0.0330519
0.307617 0.0330673
0.308594 0.0330755
0.30957 0.0330773
0.310547 0.0330738
0.311523 0.0330655
0.3125 0.0330529
0.313477 0.0330365
0.314453 0.0330166
0.31543 0.0329935
0.316406 0.0329675
0.317383 0.0329388
0.318359 0.0329076
0.319336 0.0328742
0.320312 0.0328386
0.321289 0.0328011
0.322266 0.0327617
0.323242 0.0327207
0.324219 0.0326781
0.325195 0.032634
0.326172 0.0325886
0.327148 0.032542
0.328125 0.0324942
0.329102 0.0324454
0.330078 0.0323957
0.331055 0.032345
0.332031 0.0322937
0.333008 0.0322416
0.333984 0.0321888
0.334961 0.0321355
0.335938 0.0320818
0.336914 0.0320276
0.337891 0.031973
0.338867 0.0319182
0.339844 0.0318631
0.34082 0.0318078
0.341797 0.0317524
0.342773 0.0316969
0.34375 0.0316413
0.344727 0.0315858
0.345703 0.0315303
0.34668 0.0314749
0.347656 0.0314196
0.348633 0.0313645
0.349609 0.0313096
0.350586 0.031255
0.351562 0.0312005
0.352539 0.0311464
0.353516 0.0310926
0.354492 0.0310392
0.355469 0.0309861
0.356445 0.0309335
0.357422 0.0308812
0.358398 0.0308294
0.359375 0.030778
0.360352 0.0307271
0.361328 0.0306767
0.362305 0.0306268
0.363281 0.0305774
0.364258 0.0305286
0.365234 0.0304803
0.366211 0.0304325
0.367188 0.0303853
0.368164 0.0303386
0.369141 0.0302926
0.370117 0.0302471
0.371094 0.0302022
0.37207 0.0301579
0.373047 0.0301142
0.374023 0.0300711
0.375 0.0300285
0.375977 0.0299866
0.376953 0.0299453
0.37793 0.0299046
0.378906 0.0298645
0.379883 0.0298249
0.380859 0.029786
0.381836 0.0297477
0.382812 0.0297099
0.383789 0.0296728
0.384766 0.0296362
0.385742 0.0296002
0.386719 0.0295648
0.387695 0.0295299
0.388672 0.0294956
0.389648 0.0294619
0.390625 0.0294287
0.391602 0.0293961
0.392578 0.029364
0.393555 0.0293324
0.394531 0.0293014
0.395508 0.0292709
0.396484 0.0292409
0.397461 0.0292114
0.398438 0.0291824
0.399414 0.0291538
0.400391 0.0291258
0.401367 0.0290982
0.402344 0.0290711
0.40332 0.0290445
0.404297 0.0290183
0.405273 0.0289925
0.40625 0.0289672
0.407227 0.0289423
0.408203 0.0289178
0.40918 0.0288937
0.410156 0.02887
0.411133 0.0288467
0.412109 0.0288238
0.413086 0.0288012
0.414062 0.028779
0.415039 0.0287572
0.416016 0.0287357
0.416992 0.0287146
0.417969 0.0286938
0.418945 0.0286733
0.419922 0.0286532
0.420898 0.0286333
0.421875 0.0286138
0.422852 0.0285945
0.423828 0.0285755
0.424805 0.0285569
0.425781 0.0285384
0.426758 0.0285203
0.427734 0.0285024
0.428711 0.0284848
0.429688 0.0284674
0.430664 0.0284502
0.431641 0.0284333
0.432617 0.0284166
0.433594 0.0284001
0.43457 0.0283838
0.435547 0.0283677
0.436523 0.0283518
0.4375 0.0283361
0.438477 0.0283206
0.439453 0.0283053
0.44043 0.0282901
0.441406 0.0282751
0.442383 0.0282602
0.443359 0.0282455
0.444336 0.028231
0.445312 0.0282165
0.446289 0.0282022
0.447266 0.028188
0.448242 0.028174
0.449219 0.02816
0.450195 0.0281461
0.451172 0.0281324
0.452148 0.0281187
0.453125 0.0281051
0.454102 0.0280916
0.455078 0.0280782
0.456055 0.0280648
0.457031 0.0280515
0.458008 0.0280382
0.458984 0.028025
0.459961 0.0280119
0.460938 0.0279988
0.461914 0.0279857
0.462891 0.0279727
0.463867 0.0279597
0.464844 0.0279468
0.46582 0.0279338
0.466797 0.0279209
0.467773 0.027908
0.46875 0.0278952
0.469727 0.0278823
0.470703 0.0278695
0.47168 0.0278566
0.472656 0.0278438
0.473633 0.027831
0.474609 0.0278182
0.475586 0.0278054
