# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 1.78093e-08
-5.09875 1.8439e-08
-5.08877 1.9432e-08
-5.0788 1.98149e-08
-5.06882 2.05397e-08
-5.05884 2.0961e-08
-5.04886 2.21433e-08
-5.03888 2.2639e-08
-5.02891 2.39258e-08
-5.01893 2.49159e-08
-5.00895 2.55312e-08
-4.99897 2.66014e-08
-4.98899 2.7746e-08
-4.97902 2.89711e-08
-4.96904 3.02847e-08
-4.95906 3.16691e-08
-4.94908 3.26103e-08
-4.9391 3.42152e-08
-4.92913 3.64822e-08
-4.91915 3.76825e-08
-4.90917 3.96655e-08
-4.89919 4.24297e-08
-4.88921 4.47531e-08
-4.87924 4.65102e-08
-4.86926 5.00414e-08
-4.85928 5.30006e-08
-4.8493 5.52656e-08
-4.83932 5.88287e-08
-4.82935 6.26856e-08
-4.81937 6.68694e-08
-4.80939 7.15023e-08
-4.79941 7.675e-08
-4.78943 8.26192e-08
-4.77946 8.90896e-08
-4.76948 9.78208e-08
-4.7595 1.04492e-07
-4.74952 1.14068e-07
-4.73954 1.24883e-07
-4.72957 1.37392e-07
-4.71959 1.54181e-07
-4.70961 1.68861e-07
-4.69963 1.92355e-07
-4.68965 2.13498e-07
-4.67968 2.43641e-07
-4.6697 2.81301e-07
-4.65972 3.29462e-07
-4.64974 3.92877e-07
-4.63976 4.87323e-07
-4.62979 6.11967e-07
-4.61981 8.07677e-07
-4.60983 1.14855e-06
-4.59985 1.88161e-06
-4.58987 4.62089e-06
-4.5799 0.0449441
-4.56992 0.038205
-4.55994 0.0332299
-4.54996 0.0298365
-4.53998 0.0267462
-4.53001 0.0242592
-4.52003 0.0221854
-4.51005 0.0207412
-4.50007 0.0189483
-4.49009 0.0176699
-4.48012 0.0165491
-4.47014 0.0155724
-4.46016 0.0149227
-4.45018 0.0141289
-4.4402 0.0134179
-4.43023 0.0129661
-4.42025 0.0122025
-4.41027 0.0118469
-4.40029 0.011358
-4.39031 0.011064
-4.38034 0.0104885
-4.37036 0.0102512
-4.36038 0.00989212
-4.3504 0.00955645
-4.34042 0.00924224
-4.33045 0.00907725
-4.32047 0.00868058
-4.31049 0.00854031
-4.30051 0.00840904
-4.29053 0.00817546
-4.28056 0.00784898
-4.27058 0.00774938
-4.2606 0.00755125
-4.25062 0.00746252
-4.24064 0.00728468
-4.23067 0.00711353
-4.22069 0.00704198
-4.21071 0.00688585
-4.20073 0.0067364
-4.19075 0.0065956
-4.18078 0.0065414
-4.1708 0.00640871
-4.16082 0.00636059
-4.15084 0.00616175
-4.14086 0.00619602
-4.13089 0.00608148
-4.12091 0.00597176
-4.11093 0.00593615
-4.10095 0.00583451
-4.09097 0.00573521
-4.081 0.00563895
-4.07102 0.0056122
-4.06104 0.00558619
-4.05106 0.00549883
-4.04108 0.00541392
-4.03111 0.00533136
-4.02113 0.00531146
-4.01115 0.00529145
-4.00117 0.00527133
-3.99119 0.00519738
-3.98122 0.00517975
-3.97124 0.00505552
-3.96126 0.00504106
-3.95128 0.00497418
-3.94131 0.00495965
-3.93133 0.00494642
-3.92135 0.00488482
-3.91137 0.00482411
-3.90139 0.00481222
-3.89142 0.00480145
-3.88144 0.00474446
-3.87146 0.00473432
-3.86148 0.00467979
-3.8515 0.0046702
-3.84153 0.00466119
-3.83155 0.00460941
-3.82157 0.00460003
-3.81159 0.00455081
-3.80161 0.0045844
-3.79164 0.00453542
-3.78166 0.00452784
-3.77168 0.00448118
-3.7617 0.00447361
-3.75172 0.00446716
-3.74175 0.00442259
-3.73177 0.00445196
-3.72179 0.00440895
-3.71181 0.00440256
-3.70183 0.0043955
-3.69186 0.00435431
-3.68188 0.00434854
-3.6719 0.00434182
-3.66192 0.00430204
-3.65194 0.00432883
-3.64197 0.00432259
-3.63199 0.00428459
-3.62201 0.00427849
-3.61203 0.0042722
-3.60205 0.00426595
-3.59208 0.00425999
-3.5821 0.0042541
-3.57212 0.00424766
-3.56214 0.00421206
-3.55216 0.00423496
-3.54219 0.00422891
-3.53221 0.00422236
-3.52223 0.0042159
-3.51225 0.00420948
-3.50227 0.00420286
-3.4923 0.0041965
-3.48232 0.00419017
-3.47234 0.00420921
-3.46236 0.00420245
-3.45238 0.00417035
-3.44241 0.00416352
-3.43243 0.00415697
-3.42245 0.00417522
-3.41247 0.00426261
-3.40249 0.00399534
-3.39252 0.00420084
-3.38254 0.00416921
-3.37256 0.00413864
-3.36258 0.00433348
-3.3526 0.00430176
-3.34263 0.00405164
-3.33265 0.00424093
-3.32267 0.00420994
-3.31269 0.00397008
-3.30271 0.00415226
-3.29274 0.00412182
-3.28276 0.0042979
-3.27278 0.0042688
-3.2628 0.00424
-3.25282 0.00401367
-3.24285 0.00418033
-3.23287 0.00415219
-3.22289 0.0041249
-3.21291 0.00428627
-3.20293 0.00407148
-3.19296 0.0042282
-3.18298 0.00420018
-3.173 0.00417298
-3.16302 0.00432202
-3.15304 0.00429274
-3.14307 0.00409292
-3.13309 0.0040657
-3.12311 0.00420933
-3.11313 0.00418325
-3.10315 0.00432122
-3.09318 0.00429289
-3.0832 0.0042643
-3.07322 0.00423753
-3.06324 0.0042115
-3.05326 0.00418358
-3.04329 0.0043115
-3.03331 0.00428461
-3.02333 0.00425828
-3.01335 0.00438017
-3.00337 0.00420412
-2.9934 0.00432393
-2.98342 0.00444002
-2.97344 0.00426937
-2.96346 0.00424302
-2.95348 0.00435642
-2.94351 0.00446739
-2.93353 0.0043019
-2.92355 0.00427454
-2.91357 0.00438174
-2.90359 0.00435525
-2.89362 0.00445833
-2.88364 0.0044297
-2.87366 0.00440151
-2.86368 0.00437426
-2.8537 0.00447185
-2.84373 0.00444344
-2.83375 0.00441584
-2.82377 0.0043889
-2.81379 0.00436167
-2.80381 0.00445231
-2.79384 0.00442495
-2.78386 0.00451206
-2.77388 0.00448402
-2.7639 0.00456869
-2.75392 0.00453968
-2.74395 0.00451145
-2.73397 0.00448289
-2.72399 0.00456229
-2.71401 0.00453414
-2.70403 0.00450555
-2.69406 0.00458136
-2.68408 0.00455309
-2.6741 0.00462597
-2.66412 0.00459629
-2.65414 0.00456716
-2.64417 0.00463681
-2.63419 0.00460735
-2.62421 0.00467418
-2.61423 0.00464422
-2.60425 0.00461415
-2.59428 0.0046781
-2.5843 0.00464853
-2.57432 0.00470909
-2.56434 0.00467911
-2.55436 0.00473751
-2.54439 0.00479455
-2.53441 0.00476319
-2.52443 0.00473194
-2.51445 0.00478578
-2.50447 0.00475425
-2.4945 0.00480604
-2.48452 0.00485678
-2.47454 0.00490481
-2.46456 0.00479187
-2.45458 0.00491774
-2.44461 0.0048065
-2.43463 0.00485206
-2.42465 0.00489613
-2.41467 0.00493823
-2.40469 0.00490488
-2.39472 0.00494473
-2.38474 0.00498341
-2.37476 0.00494929
-2.36478 0.00498586
-2.35481 0.00495064
-2.34483 0.00498655
-2.33485 0.00502071
-2.32487 0.00498425
-2.31489 0.00501714
-2.30492 0.00504836
-2.29494 0.00507661
-2.28496 0.00510459
-2.27498 0.00513164
-2.265 0.00509496
-2.25503 0.00512095
-2.24505 0.00520548
-2.23507 0.00516659
-2.22509 0.00512896
-2.21511 0.00515046
-2.20514 0.00522898
-2.19516 0.00518936
-2.18518 0.00520737
-2.1752 0.00522467
-2.16522 0.0052962
-2.15525 0.00531028
-2.14527 0.00532313
-2.13529 0.00533479
-2.12531 0.00534584
-2.11533 0.00535631
-2.10536 0.00536569
-2.09538 0.00537342
-2.0854 0.00538064
-2.07542 0.00543583
-2.06544 0.00539153
-2.05547 0.00544501
-2.04549 0.00544768
-2.03551 0.00549687
-2.02553 0.00549713
-2.01555 0.00549609
-2.00558 0.00554076
-1.9956 0.0055384
-1.98562 0.0055344
-1.97564 0.00557345
-1.96566 0.00556831
-1.95569 0.00560418
-1.94571 0.00563785
-1.93573 0.00562876
-1.92575 0.00566038
-1.91577 0.00568947
-1.9058 0.00571604
-1.89582 0.00570272
-1.88584 0.00572715
-1.87586 0.00574966
-1.86588 0.00577075
-1.85591 0.00575367
-1.84593 0.00580734
-1.83595 0.00578789
-1.82597 0.00583832
-1.81599 0.0058165
-1.80602 0.00586227
-1.79604 0.0058723
-1.78606 0.00591355
-1.77608 0.00592022
-1.7661 0.00592542
-1.75613 0.00596087
-1.74615 0.00596297
-1.73617 0.00599381
-1.72619 0.00602254
-1.71621 0.0060495
-1.70624 0.00607481
-1.69626 0.00606833
-1.68628 0.00608893
-1.6763 0.00610807
-1.66632 0.00612479
-1.65635 0.00613951
-1.64637 0.00617953
-1.63639 0.00619061
-1.62641 0.0061993
-1.61643 0.00620591
-1.60646 0.00626139
-1.59648 0.00626427
-1.5865 0.00628915
-1.57652 0.00628828
-1.56654 0.00630921
-1.55657 0.00635066
-1.54659 0.00636647
-1.53661 0.00637982
-1.52663 0.00639077
-1.51665 0.00642172
-1.50668 0.00642836
-1.4967 0.00645342
-1.48672 0.00647595
-1.47674 0.00651589
-1.46676 0.00653295
-1.45679 0.00654712
-1.44681 0.00657801
-1.43683 0.00660552
-1.42685 0.00661185
-1.41687 0.0066338
-1.4069 0.0066524
-1.39692 0.00668572
-1.38694 0.00669858
-1.37696 0.00672544
-1.36698 0.00673251
-1.35701 0.00676914
-1.34703 0.00678574
-1.33705 0.00679968
-1.32707 0.0068256
-1.31709 0.0068476
-1.30712 0.00686646
-1.29714 0.0068816
-1.28716 0.00690745
-1.27718 0.0069433
-1.2672 0.00694747
-1.25723 0.00697502
-1.24725 0.00699835
-1.23727 0.00701759
-1.22729 0.00704498
-1.21731 0.0070555
-1.20734 0.00707503
-1.19736 0.00712405
-1.18738 0.00711956
-1.1774 0.00711406
-1.16742 0.00721654
-1.15745 0.00719959
-1.14747 0.00717787
-1.13749 0.00715292
-1.12751 0.00712477
-1.11753 0.0072939
-1.10756 0.00725278
-1.09758 0.00720895
-1.0876 0.00725446
-1.07762 0.00729214
-1.06764 0.00723154
-1.05767 0.00725341
-1.04769 0.00735459
-1.03771 0.00727549
-1.02773 0.00727241
-1.01775 0.007341
-1.00778 0.00724111
-0.997799 0.00728832
-0.987821 0.00732204
-0.977843 0.00726893
-0.967865 0.00720415
-0.957887 0.0071989
-0.947909 0.00717673
-0.937931 0.00713651
-0.927953 0.00707913
-0.917975 0.00706354
-0.907997 0.00695789
-0.898019 0.00694351
-0.888041 0.00677198
-0.878063 0.00666434
-0.868085 0.00648707
-0.858107 0.00623807
-0.848129 0.00587342
-0.838151 0.00564032
-0.828173 0.00516627
-0.818195 0.00489112
-0.808217 0.00468422
-0.798239 0.00453999
-0.788261 0.00437564
-0.778283 0.00422742
-0.768305 0.00409164
-0.758327 0.00400048
