# ---X---	---Y---
-5.10873 0.998733
-5.09875 0.99876
-5.08877 0.998787
-5.0788 0.998813
-5.06882 0.998839
-5.05884 0.998865
-5.04886 0.998892
-5.03888 0.998918
-5.02891 0.998943
-5.01893 0.99897
-5.00895 0.998995
-4.99897 0.999021
-4.98899 0.999047
-4.97902 0.999072
-4.96904 0.999098
-4.95906 0.999123
-4.94908 0.999149
-4.9391 0.999174
-4.92913 0.999199
-4.91915 0.999224
-4.90917 0.99925
-4.89919 0.999274
-4.88921 0.9993
-4.87924 0.999325
-4.86926 0.99935
-4.85928 0.999375
-4.8493 0.999399
-4.83932 0.999424
-4.82935 0.999449
-4.81937 0.999474
-4.80939 0.999498
-4.79941 0.999523
-4.78943 0.999548
-4.77946 0.999572
-4.76948 0.999597
-4.7595 0.999621
-4.74952 0.999646
-4.73954 0.999671
-4.72957 0.999695
-4.71959 0.99972
-4.70961 0.999744
-4.69963 0.999769
-4.68965 0.999793
-4.67968 0.999818
-4.6697 0.999842
-4.65972 0.999867
-4.64974 0.999891
-4.63976 0.999916
-4.62979 0.99994
-4.61981 0.999965
-4.60983 0.99999
-4.59985 1.00001
-4.58987 1.00004
-4.5799 1.00006
-4.56992 1.00009
-4.55994 1.00011
-4.54996 1.00014
-4.53998 1.00016
-4.53001 1.00019
-4.52003 1.00021
-4.51005 1.00024
-4.50007 1.00026
-4.49009 1.00029
-4.48012 1.00031
-4.47014 1.00034
-4.46016 1.00036
-4.45018 1.00039
-4.4402 1.00041
-4.43023 1.00044
-4.42025 1.00046
-4.41027 1.00049
-4.40029 1.00051
-4.39031 1.00054
-4.38034 1.00056
-4.37036 1.00059
-4.36038 1.00062
-4.3504 1.00064
-4.34042 1.00067
-4.33045 1.00069
-4.32047 1.00072
-4.31049 1.00075
-4.30051 1.00077
-4.29053 1.0008
-4.28056 1.00083
-4.27058 1.00085
-4.2606 1.00088
-4.25062 1.00091
-4.24064 1.00093
-4.23067 1.00096
-4.22069 1.00099
-4.21071 1.00101
-4.20073 1.00104
-4.19075 1.00107
-4.18078 1.0011
-4.1708 1.00112
-4.16082 1.00115
-4.15084 1.00118
-4.14086 1.00121
-4.13089 1.00124
-4.12091 1.00126
-4.11093 1.00129
-4.10095 1.00132
-4.09097 1.00135
-4.081 1.00138
-4.07102 1.00141
-4.06104 1.00144
-4.05106 1.00147
-4.04108 1.0015
-4.03111 1.00153
-4.02113 1.00156
-4.01115 1.00159
-4.00117 1.00162
-3.99119 1.00165
-3.98122 1.00168
-3.97124 1.00171
-3.96126 1.00174
-3.95128 1.00177
-3.94131 1.0018
-3.93133 1.00183
-3.92135 1.00186
-3.91137 1.0019
-3.90139 1.00193
-3.89142 1.00196
-3.88144 1.00199
-3.87146 1.00203
-3.86148 1.00206
-3.8515 1.00209
-3.84153 1.00213
-3.83155 1.00216
-3.82157 1.00219
-3.81159 1.00223
-3.80161 1.00226
-3.79164 1.0023
-3.78166 1.00233
-3.77168 1.00237
-3.7617 1.0024
-3.75172 1.00244
-3.74175 1.00247
-3.73177 1.00251
-3.72179 1.00255
-3.71181 1.00258
