# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 1.29747e-11
-5.09875 1.05798e-11
-5.08877 8.88654e-12
-5.0788 7.7522e-12
-5.06882 7.31726e-12
-5.05884 6.09192e-12
-5.04886 5.57873e-12
-5.03888 4.94806e-12
-5.02891 4.62945e-12
-5.01893 4.42339e-12
-5.00895 4.17415e-12
-4.99897 3.67287e-12
-4.98899 3.44679e-12
-4.97902 3.31347e-12
-4.96904 3.20165e-12
-4.95906 2.89142e-12
-4.94908 2.8002e-12
-4.9391 2.72004e-12
-4.92913 2.61017e-12
-4.91915 2.46276e-12
-4.90917 2.3242e-12
-4.89919 2.21846e-12
-4.88921 2.22959e-12
-4.87924 2.0935e-12
-4.86926 2.0682e-12
-4.85928 1.98331e-12
-4.8493 1.87539e-12
-4.83932 1.82666e-12
-4.82935 1.78483e-12
-4.81937 1.70886e-12
-4.80939 1.66852e-12
-4.79941 1.64031e-12
-4.78943 1.54504e-12
-4.77946 1.51383e-12
-4.76948 1.52674e-12
-4.7595 1.48118e-12
-4.74952 1.41105e-12
-4.73954 1.395e-12
-4.72957 1.39303e-12
-4.71959 1.33585e-12
-4.70961 1.30007e-12
-4.69963 1.25433e-12
-4.68965 1.25089e-12
-4.67968 1.20203e-12
-4.6697 1.21321e-12
-4.65972 1.15411e-12
-4.64974 1.14881e-12
-4.63976 1.11207e-12
-4.62979 1.11782e-12
-4.61981 1.06831e-12
-4.60983 1.05392e-12
-4.59985 1.02754e-12
-4.58987 1.0198e-12
-4.5799 1.00528e-12
-4.56992 9.92165e-13
-4.55994 9.56908e-13
-4.54996 9.48611e-13
-4.53998 9.19401e-13
-4.53001 9.31457e-13
-4.52003 9.06824e-13
-4.51005 8.92889e-13
-4.50007 8.73141e-13
-4.49009 8.61022e-13
-4.48012 8.37927e-13
-4.47014 8.204e-13
-4.46016 8.20256e-13
-4.45018 8.06879e-13
-4.4402 7.86837e-13
-4.43023 7.89761e-13
-4.42025 7.8564e-13
-4.41027 7.65215e-13
-4.40029 7.50448e-13
-4.39031 7.5109e-13
-4.38034 7.17171e-13
-4.37036 7.22683e-13
-4.36038 7.04703e-13
-4.3504 7.08397e-13
-4.34042 6.81312e-13
-4.33045 6.69402e-13
-4.32047 6.66011e-13
-4.31049 6.72717e-13
-4.30051 6.48606e-13
-4.29053 6.44789e-13
-4.28056 6.37775e-13
-4.27058 6.35901e-13
-4.2606 6.16829e-13
-4.25062 6.1432e-13
-4.24064 6.09133e-13
-4.23067 5.99499e-13
-4.22069 5.94567e-13
-4.21071 5.90272e-13
