# ---$r/a_\mathrm{H}$---	---Y---
-2.84373 5.19629e-12
-2.83375 5.10687e-12
-2.82377 5.10891e-12
-2.81379 5.11294e-12
-2.80381 5.11788e-12
-2.79384 5.03905e-12
-2.78386 5.0492e-12
-2.77388 5.06139e-12
-2.7639 5.07563e-12
-2.75392 5.00756e-12
-2.74395 5.0256e-12
-2.73397 5.04677e-12
-2.72399 4.15104e-12
-2.71401 5.0969e-12
-2.70403 4.37195e-12
-2.69406 4.48793e-12
-2.68408 5.43732e-12
-2.6741 5.55583e-12
-2.66412 5.67859e-12
-2.65414 4.97165e-12
-2.64417 5.09989e-12
-2.63419 4.39887e-12
-2.62421 5.36536e-12
-2.61423 4.66674e-12
-2.60425 4.80668e-12
-2.59428 4.95058e-12
-2.5843 5.09914e-12
-2.57432 4.40352e-12
-2.56434 4.55488e-12
-2.55436 4.7155e-12
-2.54439 4.88045e-12
-2.53441 5.04964e-12
-2.52443 4.34781e-12
-2.51445 4.52526e-12
-2.50447 4.70508e-12
-2.4945 4.89678e-12
-2.48452 5.09854e-12
-2.47454 4.37415e-12
-2.46456 4.58233e-12
-2.45458 4.79866e-12
-2.44461 5.03012e-12
-2.43463 5.27606e-12
-2.42465 5.53672e-12
-2.41467 5.8159e-12
-2.40469 5.04e-12
-2.39472 5.33284e-12
-2.38474 5.65067e-12
-2.37476 4.81796e-12
-2.36478 5.14979e-12
-2.35481 5.52218e-12
-2.34483 5.93161e-12
-2.33485 6.39212e-12
-2.32487 5.43883e-12
-2.31489 5.943e-12
-2.30492 6.52465e-12
-2.29494 7.20637e-12
-2.28496 6.08216e-12
-2.27498 6.88772e-12
-2.265 7.88851e-12
-2.25503 9.18848e-12
-2.24505 7.81276e-12
-2.23507 9.68875e-12
-2.22509 1.26655e-11
-2.21511 1.78803e-11
-2.20514 2.97552e-11
-2.19516 5.85219e-11
-2.18518 0.99999
-2.1752 0.999989
-2.16522 0.999989
-2.15525 0.99999
-2.14527 0.999989
-2.13529 0.999989
-2.12531 0.999989
-2.11533 0.999989
-2.10536 0.999989
-2.09538 0.999989
-2.0854 0.999988
-2.07542 0.999988
-2.06544 0.999988
-2.05547 0.999988
-2.04549 0.999988
-2.03551 0.999988
-2.02553 0.999988
-2.01555 0.999988
-2.00558 0.999988
-1.9956 0.999988
-1.98562 0.999988
-1.97564 0.999987
-1.96566 0.999987
-1.95569 0.999987
-1.94571 0.999987
-1.93573 0.999986
-1.92575 0.999986
-1.91577 0.999986
-1.9058 0.999986
-1.89582 0.999986
-1.88584 0.999986
-1.87586 0.999986
-1.86588 0.999986
-1.85591 0.999986
-1.84593 0.999986
-1.83595 0.999986
-1.82597 0.999985
-1.81599 0.999985
-1.80602 0.999985
-1.79604 0.999985
-1.78606 0.999984
-1.77608 0.999984
-1.7661 0.999984
-1.75613 0.999984
-1.74615 0.999984
-1.73617 0.999983
-1.72619 0.999983
-1.71621 0.999983
-1.70624 0.999983
-1.69626 0.999983
-1.68628 0.999983
-1.6763 0.999982
-1.66632 0.999982
-1.65635 0.999982
-1.64637 0.999981
-1.63639 0.999981
-1.62641 0.999981
-1.61643 0.999981
