# ---X---	---Y---
-2.55436 4.63616e-06
-2.54439 9.27846e-06
-2.53441 1.39341e-05
-2.52443 1.86061e-05
-2.51445 2.33037e-05
-2.50447 2.80346e-05
-2.4945 3.27987e-05
-2.48452 3.7609e-05
-2.47454 4.24678e-05
-2.46456 4.7383e-05
-2.45458 5.23597e-05
-2.44461 5.74106e-05
-2.43463 6.25357e-05
-2.42465 6.77427e-05
-2.41467 7.30394e-05
-2.40469 7.84358e-05
-2.39472 8.39347e-05
-2.38474 8.95488e-05
-2.37476 9.52781e-05
-2.36478 0.000101138
-2.35481 0.000107136
-2.34483 0.000113254
-2.33485 0.000119552
-2.32487 0.000126003
-2.31489 0.000132608
-2.30492 0.000139418
-2.29494 0.000146406
-2.28496 0.0001536
-2.27498 0.000160973
-2.265 0.000168576
-2.25503 0.00017641
-2.24505 0.000184474
-2.23507 0.000192794
-2.22509 0.00020137
-2.21511 0.000210227
-2.20514 0.000219366
-2.19516 0.000228813
-2.18518 0.000238541
-2.1752 0.000248602
-2.16522 0.000259021
-2.15525 0.000269773
-2.14527 0.000280909
-2.13529 0.000292429
-2.12531 0.000304358
-2.11533 0.000316698
-2.10536 0.000329446
-2.09538 0.000342682
-2.0854 0.000356378
-2.07542 0.00037056
-2.06544 0.000385254
-2.05547 0.000400486
-2.04549 0.000416282
-2.03551 0.000432666
-2.02553 0.000449613
-2.01555 0.000467226
-2.00558 0.000485453
-1.9956 0.000504371
-1.98562 0.000524006
-1.97564 0.000544384
-1.96566 0.000565478
-1.95569 0.000587418
-1.94571 0.000610176
-1.93573 0.000633779
-1.92575 0.000658278
-1.91577 0.000683725
-1.9058 0.000710118
-1.89582 0.000737536
-1.88584 0.000765978
-1.87586 0.000795546
-1.86588 0.000826214
-1.85591 0.000858086
-1.84593 0.000891162
-1.83595 0.000925542
-1.82597 0.000961229
-1.81599 0.000998323
-1.80602 0.00103683
-1.79604 0.00107686
-1.78606 0.00111841
-1.77608 0.0011616
-1.7661 0.00120648
-1.75613 0.00125309
-1.74615 0.00130153
-1.73617 0.00135186
-1.72619 0.00140419
-1.71621 0.00145856
-1.70624 0.00151503
-1.69626 0.00157366
-1.68628 0.00163489
-1.6763 0.0016983
-1.66632 0.0017641
-1.65635 0.0018327
-1.64637 0.00190413
-1.63639 0.00197811
-1.62641 0.00205517
-1.61643 0.00213504
-1.60646 0.00221824
-1.59648 0.00230477
-1.5865 0.00239488
-1.57652 0.00248832
