# ---X---	---$\sigma/E^\mathrm{*}$---
-2.84373 9.12907e-05
-2.83375 9.16289e-05
-2.82377 9.19762e-05
-2.81379 9.23196e-05
-2.80381 9.26719e-05
-2.79384 9.30331e-05
-2.78386 9.33902e-05
-2.77388 9.37691e-05
-2.7639 9.41308e-05
-2.75392 9.45013e-05
-2.74395 9.48803e-05
-2.73397 9.52679e-05
-2.72399 9.56639e-05
-2.71401 9.60425e-05
-2.70403 9.64296e-05
-2.69406 9.68377e-05
-2.68408 9.72542e-05
-2.6741 9.76658e-05
-2.66412 9.80726e-05
-2.65414 9.84875e-05
-2.64417 9.89232e-05
-2.63419 9.93538e-05
-2.62421 9.97922e-05
-2.61423 0.000100238
-2.60425 0.000100679
-2.59428 0.000101128
-2.5843 0.000101584
-2.57432 0.00010206
-2.56434 0.00010253
-2.55436 0.000102995
-2.54439 0.00010348
-2.53441 0.000104011
-2.52443 0.000104419
-2.51445 0.000104938
-2.50447 0.000105477
-2.4945 0.000106009
-2.48452 0.000106534
-2.47454 0.000106924
-2.46456 0.000107566
-2.45458 0.000108202
-2.44461 0.000108572
-2.43463 0.000109194
-2.42465 0.000109808
-2.41467 0.000110287
-2.40469 0.000110887
-2.39472 0.00011148
-2.38474 0.000112065
-2.37476 0.000112643
-2.36478 0.000113213
-2.35481 0.000113905
-2.34483 0.000114588
-2.33485 0.000115135
-2.32487 0.000115802
-2.31489 0.000116332
-2.30492 0.000116982
-2.29494 0.000117753
-2.28496 0.000118515
-2.27498 0.000119138
-2.265 0.000119753
-2.25503 0.000120488
-2.24505 0.000121213
-2.23507 0.000121929
-2.22509 0.000122634
-2.21511 0.000123459
-2.20514 0.000124144
-2.19516 0.000124819
-2.18518 0.000125613
-2.1752 0.000126525
-2.16522 0.000127297
-2.15525 0.000128058
-2.14527 0.000128937
-2.13529 0.000129675
-2.12531 0.000130531
-2.11533 0.000131374
-2.10536 0.000132335
-2.09538 0.000133283
-2.0854 0.00013396
-2.07542 0.000134883
-2.06544 0.000135922
-2.05547 0.000136817
-2.04549 0.0001377
-2.03551 0.000138697
-2.02553 0.00013981
-2.01555 0.000140649
-2.00558 0.000141603
-1.9956 0.0001428
-1.98562 0.000143724
-1.97564 0.000144761
-1.96566 0.000145911
-1.95569 0.000146916
-1.94571 0.000148033
-1.93573 0.000149263
-1.92575 0.000150346
-1.91577 0.00015141
-1.9058 0.000152587
-1.89582 0.000153874
-1.88584 0.000155142
-1.87586 0.000156262
-1.86588 0.000157491
-1.85591 0.000158829
-1.84593 0.000160146
-1.83595 0.000161443
-1.82597 0.000162718
-1.81599 0.000164101
-1.80602 0.000165461
-1.79604 0.000166927
-1.78606 0.000168371
-1.77608 0.00016979
-1.7661 0.000171314
-1.75613 0.000172683
-1.74615 0.000174286
-1.73617 0.000175862
-1.72619 0.000177411
-1.71621 0.000179062
-1.70624 0.000180686
-1.69626 0.000182409
-1.68628 0.000184104
-1.6763 0.000185768
-1.66632 0.00018753
-1.65635 0.00018939
-1.64637 0.000191218
-1.63639 0.000193142
-1.62641 0.000195032
-1.61643 0.000196888
-1.60646 0.000198836
-1.59648 0.000200878
-1.5865 0.000202882
-1.57652 0.000204977
-1.56654 0.000207161
-1.55657 0.000209305
-1.54659 0.000211538
-1.53661 0.000213727
-1.52663 0.000216003
-1.51665 0.000218363
-1.50668 0.000220805
-1.4967 0.000223201
-1.48672 0.000225678
-1.47674 0.000228363
-1.46676 0.000230868
-1.45679 0.00023345
-1.44681 0.000236236
-1.43683 0.000238966
-1.42685 0.00024164
-1.41687 0.000244514
-1.4069 0.000247585
-1.39692 0.000250595
-1.38694 0.000253669
-1.37696 0.000256808
-1.36698 0.000259879
-1.35701 0.000263268
-1.34703 0.000266585
-1.33705 0.000269958
-1.32707 0.000273514
-1.31709 0.00027699
-1.30712 0.000280775
-1.29714 0.000284476
-1.28716 0.000288349
