# ---X---	---Y---
-5.10873 1.0002
-5.09875 1.0002
-5.08877 1.0002
-5.0788 1.0002
-5.06882 1.0002
-5.05884 1.0002
-5.04886 1.0002
-5.03888 1.0002
-5.02891 1.0002
-5.01893 1.0002
-5.00895 1.0002
-4.99897 1.0002
-4.98899 1.0002
-4.97902 1.0002
-4.96904 1.0002
-4.95906 1.0002
-4.94908 1.0002
-4.9391 1.0002
-4.92913 1.0002
-4.91915 1.0002
-4.90917 1.0002
-4.89919 1.0002
-4.88921 1.0002
-4.87924 1.0002
-4.86926 1.0002
-4.85928 1.00021
-4.8493 1.00021
-4.83932 1.00021
-4.82935 1.00021
-4.81937 1.00021
-4.80939 1.00021
-4.79941 1.00021
-4.78943 1.00021
-4.77946 1.00021
-4.76948 1.00021
-4.7595 1.00021
-4.74952 1.00021
-4.73954 1.00021
-4.72957 1.00021
-4.71959 1.00022
-4.70961 1.00022
-4.69963 1.00022
-4.68965 1.00022
-4.67968 1.00022
-4.6697 1.00022
-4.65972 1.00022
-4.64974 1.00022
-4.63976 1.00022
-4.62979 1.00023
-4.61981 1.00023
-4.60983 1.00023
-4.59985 1.00023
-4.58987 1.00023
-4.5799 1.00023
-4.56992 1.00023
-4.55994 1.00023
-4.54996 1.00024
-4.53998 1.00024
-4.53001 1.00024
-4.52003 1.00024
-4.51005 1.00024
-4.50007 1.00024
-4.49009 1.00024
-4.48012 1.00025
-4.47014 1.00025
-4.46016 1.00025
-4.45018 1.00025
-4.4402 1.00025
-4.43023 1.00025
-4.42025 1.00026
-4.41027 1.00026
-4.40029 1.00026
-4.39031 1.00026
-4.38034 1.00026
-4.37036 1.00026
-4.36038 1.00027
-4.3504 1.00027
-4.34042 1.00027
-4.33045 1.00027
-4.32047 1.00027
-4.31049 1.00028
-4.30051 1.00028
-4.29053 1.00028
-4.28056 1.00028
-4.27058 1.00029
-4.2606 1.00029
-4.25062 1.00029
-4.24064 1.00029
-4.23067 1.00029
-4.22069 1.0003
-4.21071 1.0003
-4.20073 1.0003
-4.19075 1.0003
-4.18078 1.00031
-4.1708 1.00031
-4.16082 1.00031
-4.15084 1.00031
-4.14086 1.00032
-4.13089 1.00032
-4.12091 1.00032
-4.11093 1.00033
-4.10095 1.00033
-4.09097 1.00033
-4.081 1.00033
-4.07102 1.00034
-4.06104 1.00034
-4.05106 1.00034
-4.04108 1.00035
-4.03111 1.00035
-4.02113 1.00035
-4.01115 1.00036
-4.00117 1.00036
-3.99119 1.00036
-3.98122 1.00037
-3.97124 1.00037
-3.96126 1.00037
-3.95128 1.00038
-3.94131 1.00038
-3.93133 1.00039
-3.92135 1.00039
-3.91137 1.00039
-3.90139 1.0004
-3.89142 1.0004
-3.88144 1.0004
-3.87146 1.00041
-3.86148 1.00041
-3.8515 1.00042
-3.84153 1.00042
-3.83155 1.00043
-3.82157 1.00043
-3.81159 1.00043
-3.80161 1.00044
-3.79164 1.00044
-3.78166 1.00045
-3.77168 1.00045
-3.7617 1.00046
-3.75172 1.00046
-3.74175 1.00047
-3.73177 1.00047
-3.72179 1.00048
-3.71181 1.00048
-3.70183 1.00049
-3.69186 1.00049
-3.68188 1.0005
-3.6719 1.0005
-3.66192 1.00051
-3.65194 1.00051
-3.64197 1.00052
-3.63199 1.00052
-3.62201 1.00053
-3.61203 1.00054
-3.60205 1.00054
-3.59208 1.00055
-3.5821 1.00055
-3.57212 1.00056
-3.56214 1.00057
-3.55216 1.00057
-3.54219 1.00058
-3.53221 1.00059
-3.52223 1.00059
-3.51225 1.0006
-3.50227 1.00061
-3.4923 1.00061
-3.48232 1.00062
-3.47234 1.00063
-3.46236 1.00063
-3.45238 1.00064
-3.44241 1.00065
-3.43243 1.00066
