# ---X---	---$\sigma/E^\mathrm{*}$---
-2.84373 2.04515e-08
-2.83375 2.06737e-08
-2.82377 2.09012e-08
-2.81379 2.11307e-08
-2.80381 2.13657e-08
-2.79384 2.16063e-08
-2.78386 2.18489e-08
-2.77388 2.21009e-08
-2.7639 2.23514e-08
-2.75392 2.26078e-08
-2.74395 2.28701e-08
-2.73397 2.31384e-08
-2.72399 2.34127e-08
-2.71401 2.36859e-08
-2.70403 2.39652e-08
-2.69406 2.42546e-08
-2.68408 2.45504e-08
-2.6741 2.48489e-08
-2.66412 2.51502e-08
-2.65414 2.54581e-08
-2.64417 2.57767e-08
-2.63419 2.60982e-08
-2.62421 2.64267e-08
-2.61423 2.67621e-08
-2.60425 2.71009e-08
-2.59428 2.74472e-08
-2.5843 2.78006e-08
-2.57432 2.81653e-08
-2.56434 2.85334e-08
-2.55436 2.89056e-08
-2.54439 2.92895e-08
-2.53441 2.96937e-08
-2.52443 3.0065e-08
-2.51445 3.04772e-08
-2.50447 3.09022e-08
-2.4945 3.13311e-08
-2.48452 3.17643e-08
-2.47454 3.21606e-08
-2.46456 3.26451e-08
-2.45458 3.31352e-08
-2.44461 3.35454e-08
-2.43463 3.40455e-08
-2.42465 3.45505e-08
-2.41467 3.50187e-08
-2.40469 3.55348e-08
-2.39472 3.60569e-08
-2.38474 3.65846e-08
-2.37476 3.71186e-08
-2.36478 3.76586e-08
-2.35481 3.82495e-08
-2.34483 3.88466e-08
-2.33485 3.94066e-08
-2.32487 4.0018e-08
-2.31489 4.05909e-08
-2.30492 4.12163e-08
-2.29494 4.18956e-08
-2.28496 4.25825e-08
-2.27498 4.32314e-08
-2.265 4.38887e-08
-2.25503 4.46009e-08
-2.24505 4.53216e-08
-2.23507 4.60518e-08
-2.22509 4.67906e-08
-2.21511 4.75872e-08
-2.20514 4.83449e-08
-2.19516 4.91133e-08
-2.18518 4.99405e-08
-2.1752 5.08271e-08
-2.16522 5.16761e-08
-2.15525 5.25362e-08
-2.14527 5.34584e-08
