# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 4.36605e-14
-5.09875 4.33136e-14
-5.08877 3.40768e-14
-5.0788 4.18951e-14
-5.06882 3.77457e-14
-5.05884 3.3004e-14
-5.04886 4.8728e-14
-5.03888 4.06499e-14
-5.02891 4.00161e-14
-5.01893 3.15244e-14
-5.00895 3.91134e-14
-4.99897 3.85268e-14
-4.98899 3.82687e-14
-4.97902 2.6598e-14
-4.96904 3.37082e-14
-4.95906 3.69049e-14
-4.94908 4.40005e-14
-4.9391 4.00598e-14
-4.92913 3.23199e-14
-4.91915 3.21207e-14
-4.90917 3.52013e-14
-4.89919 4.16707e-14
-4.88921 3.47613e-14
-4.87924 3.42996e-14
-4.86926 3.385e-14
-4.85928 2.691e-14
-4.8493 3.65244e-14
-4.83932 3.96167e-14
-4.82935 3.58586e-14
-4.81937 3.21943e-14
-4.80939 3.22243e-14
-4.79941 2.54651e-14
-4.78943 3.61574e-14
-4.77946 3.20418e-14
-4.76948 3.28255e-14
-4.7595 2.70983e-14
-4.74952 3.22647e-14
-4.73954 2.64304e-14
-4.72957 4.03043e-14
-4.71959 2.58237e-14
-4.70961 3.39282e-14
-4.69963 3.12138e-14
-4.68965 3.24983e-14
-4.67968 2.71428e-14
-4.6697 3.0027e-14
-4.65972 2.53097e-14
-4.64974 2.51854e-14
-4.63976 2.35346e-14
-4.62979 3.01359e-14
-4.61981 2.98236e-14
-4.60983 2.3481e-14
-4.59985 2.27037e-14
-4.58987 2.39274e-14
-4.5799 2.895e-14
-4.56992 2.08464e-14
-4.55994 2.45107e-14
-4.54996 2.29947e-14
-4.53998 1.78067e-14
-4.53001 2.1527e-14
-4.52003 1.75593e-14
-4.51005 2.11201e-14
-4.50007 1.84614e-14
-4.49009 1.76807e-14
-4.48012 1.09289e-14
-4.47014 1.26338e-14
-4.46016 1.72887e-14
-4.45018 1.24687e-14
-4.4402 1.29461e-14
-4.43023 1.28321e-14
-4.42025 1.79235e-14
-4.41027 1.83416e-14
-4.40029 1.25613e-14
-4.39031 1.8681e-14
-4.38034 8.41985e-15
-4.37036 1.33587e-14
-4.36038 1.104e-14
-4.3504 1.09994e-14
-4.34042 6.54618e-15
-4.33045 1.08211e-14
-4.32047 1.07342e-14
-4.31049 1.17134e-14
-4.30051 1.05645e-14
-4.29053 6.28936e-15
-4.28056 1.25338e-14
-4.27058 9.32803e-15
-4.2606 1.02408e-14
-4.25062 8.16509e-15
-4.24064 1.01292e-14
-4.23067 1.00113e-14
-4.22069 3.9914e-15
-4.21071 1.18858e-14
-4.20073 1.0816e-14
-4.19075 9.76141e-15
-4.18078 1.06178e-14
-4.1708 6.73545e-15
-4.16082 6.68777e-15
-4.15084 8.53836e-15
-4.14086 9.42061e-15
-4.13089 7.4556e-15
-4.12091 7.40458e-15
-4.11093 7.3825e-15
-4.10095 3.66484e-15
-4.09097 8.16193e-15
-4.081 2.70056e-15
-4.07102 5.36951e-15
-4.06104 6.22242e-15
-4.05106 4.39844e-15
-4.04108 9.62049e-15
-4.03111 2.61461e-15
-4.02113 3.45105e-15
-4.01115 3.4189e-15
-4.00117 4.26156e-15
-3.99119 4.23555e-15
-3.98122 2.51573e-15
-3.97124 2.50045e-15
-3.96126 1.65002e-15
-3.95128 3.28508e-15
-3.94131 6.53234e-15
-3.93133 8.07344e-16
-3.92135 4.02174e-15
-3.91137 1.59825e-15
-3.90139 1.58921e-15
-3.89142 6.30471e-15
-3.88144 7.03146e-15
-3.87146 7.76952e-15
-3.86148 7.72667e-15
-3.8515 2.29618e-15
-3.84153 5.3317e-15
-3.83155 5.49822e-15
-3.82157 7.90165e-15
-3.81159 5.9068e-15
-3.80161 8.18934e-15
-3.79164 6.02457e-15
-3.78166 5.371e-15
-3.77168 7.43913e-15
-3.7617 4.70063e-15
-3.75172 6.05891e-15
-3.74175 6.2978e-15
-3.73177 4.74995e-15
-3.72179 6.73637e-15
-3.71181 7.47948e-15
-3.70183 4.5983e-15
-3.69186 5.06176e-15
-3.68188 5.64644e-15
-3.6719 5.92023e-15
-3.66192 5.54023e-15
-3.65194 5.66594e-15
-3.64197 6.28617e-15
-3.63199 5.58354e-15
-3.62201 7.17381e-15
-3.61203 5.17989e-15
-3.60205 6.76857e-15
-3.59208 7.04084e-15
-3.5821 5.70523e-15
-3.57212 5.66577e-15
-3.56214 6.26841e-15
-3.55216 6.84818e-15
-3.54219 6.78434e-15
-3.53221 4.90086e-15
-3.52223 4.86823e-15
-3.51225 5.74334e-15
-3.50227 8.40874e-15
-3.4923 7.7383e-15
-3.48232 6.80149e-15
-3.47234 7.34579e-15
-3.46236 6.13145e-15
-3.45238 6.65715e-15
-3.44241 6.88698e-15
-3.43243 6.28914e-15
-3.42245 7.67122e-15
-3.41247 7.87001e-15
-3.40249 1.00577e-14
-3.39252 7.77622e-15
-3.38254 9.08955e-15
-3.37256 7.94104e-15
-3.36258 8.96345e-15
-3.3526 7.8142e-15
-3.34263 9.89079e-15
-3.33265 8.23996e-15
-3.32267 9.51516e-15
-3.31269 9.70365e-15
-3.30271 1.03873e-14
-3.29274 8.76214e-15
-3.28276 9.73981e-15
-3.27278 9.68721e-15
-3.2628 9.36209e-15
-3.25282 1.10283e-14
-3.24285 1.04503e-14
-3.23287 1.08689e-14
-3.22289 1.05458e-14
-3.21291 9.25334e-15
-3.20293 1.01554e-14
-3.19296 1.21255e-14
-3.18298 1.23747e-14
-3.173 1.32352e-14
-3.16302 1.20887e-14
-3.15304 1.13076e-14
-3.14307 1.17883e-14
-3.13309 1.15733e-14
-3.12311 1.27735e-14
-3.11313 1.04047e-14
-3.10315 1.07671e-14
-3.09318 1.1367e-14
-3.0832 1.17165e-14
-3.07322 1.14025e-14
-3.06324 1.0876e-14
-3.05326 1.01419e-14
-3.04329 9.00783e-15
-3.03331 9.36281e-15
-3.02333 1.03462e-14
-3.01335 9.00934e-15
-3.00337 1.01886e-14
-2.9934 8.87333e-15
-2.98342 1.00362e-14
-2.97344 1.01653e-14
-2.96346 1.088e-14
-2.95348 9.60069e-15
-2.94351 1.01275e-14
-2.93353 9.25136e-15
-2.92355 1.07501e-14
-2.91357 9.30101e-15
-2.90359 9.60621e-15
-2.89362 9.54033e-15
-2.88364 9.665e-15
-2.87366 7.89265e-15
-2.86368 9.35187e-15
-2.8537 9.9837e-15
-2.84373 9.16929e-15
-2.83375 9.08282e-15
-2.82377 1.03783e-14
-2.81379 7.07329e-15
-2.80381 9.09331e-15
-2.79384 6.69016e-15
-2.78386 8.12478e-15
-2.77388 7.57536e-15
-2.7639 9.69684e-15
-2.75392 8.09173e-15
-2.74395 8.836e-15
-2.73397 7.37631e-15
-2.72399 6.72218e-15
-2.71401 5.52064e-15
-2.70403 7.19088e-15
-2.69406 6.15027e-15
-2.68408 6.9119e-15
-2.6741 6.93545e-15
-2.66412 5.2117e-15
-2.65414 6.58068e-15
-2.64417 6.59763e-15
-2.63419 6.46103e-15
-2.62421 7.02181e-15
-2.61423 5.52126e-15
-2.60425 4.6534e-15
-2.59428 5.72944e-15
-2.5843 6.33641e-15
-2.57432 5.55152e-15
-2.56434 5.6495e-15
-2.55436 5.16489e-15
-2.54439 5.97619e-15
-2.53441 6.77426e-15
-2.52443 5.86534e-15
-2.51445 6.08842e-15
-2.50447 5.21604e-15
-2.4945 4.35222e-15
-2.48452 6.47193e-15
-2.47454 4.54296e-15
-2.46456 6.08729e-15
-2.45458 5.76604e-15
-2.44461 5.45109e-15
-2.43463 5.40527e-15
-2.42465 5.61573e-15
-2.41467 4.79943e-15
-2.40469 4.49992e-15
-2.39472 3.96768e-15
-2.38474 5.15672e-15
-2.37476 4.37555e-15
-2.36478 4.33719e-15
-2.35481 3.81761e-15
-2.34483 4.49083e-15
-2.33485 4.44409e-15
-2.32487 4.40265e-15
-2.31489 3.21003e-15
-2.30492 4.54101e-15
-2.29494 3.59925e-15
-2.28496 4.00992e-15
-2.27498 3.97098e-15
-2.265 3.71077e-15
-2.25503 3.67229e-15
-2.24505 4.28059e-15
-2.23507 2.75278e-15
-2.22509 3.95516e-15
-2.21511 3.94173e-15
-2.20514 2.66932e-15
-2.19516 3.04827e-15
-2.18518 3.8722e-15
-2.1752 2.43527e-15
-2.16522 3.22408e-15
-2.15525 2.14252e-15
-2.14527 2.84138e-15
-2.13529 2.31002e-15
-2.12531 2.97076e-15
-2.11533 2.6577e-15
-2.10536 2.56137e-15
-2.09538 2.5569e-15
-2.0854 2.11902e-15
-2.07542 9.3445e-16
-2.06544 2.47139e-15
-2.05547 1.91794e-15
-2.04549 2.50404e-15
-2.03551 2.09063e-15
-2.02553 1.60087e-15
-2.01555 2.16802e-15
-2.00558 2.10124e-15
-1.9956 1.79015e-15
-1.98562 2.73793e-15
-1.97564 1.8698e-15
-1.96566 1.96607e-15
-1.95569 1.6697e-15
-1.94571 2.22695e-15
-1.93573 1.97264e-15
-1.92575 2.47431e-15
-1.91577 1.88775e-15
-1.9058 1.75422e-15
-1.89582 2.31129e-15
-1.88584 8.89173e-16
-1.87586 1.65537e-15
-1.86588 1.73922e-15
-1.85591 1.75035e-15
-1.84593 1.89812e-15
-1.83595 1.4717e-15
-1.82597 2.11416e-15
-1.81599 1.62899e-15
-1.80602 1.47875e-15
-1.79604 2.28781e-15
-1.78606 1.87977e-15
-1.77608 1.79255e-15
-1.7661 1.83011e-15
-1.75613 1.44285e-15
-1.74615 2.07701e-15
-1.73617 1.46153e-15
-1.72619 1.78843e-15
-1.71621 1.87811e-15
-1.70624 1.73887e-15
-1.69626 1.87974e-15
-1.68628 2.07137e-15
-1.6763 1.50316e-15
-1.66632 1.95831e-15
-1.65635 1.51128e-15
-1.64637 1.48923e-15
-1.63639 1.3145e-15
-1.62641 1.39406e-15
-1.61643 1.47131e-15
-1.60646 1.88434e-15
-1.59648 1.37835e-15
-1.5865 1.77824e-15
-1.57652 1.65816e-15
-1.56654 1.22252e-15
-1.55657 1.38081e-15
-1.54659 1.53454e-15
-1.53661 1.33623e-15
-1.52663 1.69553e-15
-1.51665 1.33281e-15
-1.50668 1.76052e-15
-1.4967 1.12603e-15
-1.48672 1.26478e-15
-1.47674 1.70843e-15
-1.46676 1.48635e-15
-1.45679 1.38422e-15
-1.44681 1.57967e-15
-1.43683 1.0448e-15
-1.42685 1.44946e-15
-1.41687 1.35191e-15
-1.4069 1.56362e-15
-1.39692 1.43233e-15
-1.38694 1.3705e-15
-1.37696 1.40646e-15
-1.36698 1.56482e-15
-1.35701 1.34752e-15
-1.34703 1.70836e-15
-1.33705 1.46501e-15
-1.32707 1.43177e-15
-1.31709 1.28704e-15
-1.30712 1.33893e-15
-1.29714 1.43967e-15
-1.28716 1.56033e-15
-1.27718 1.11435e-15
-1.2672 1.28879e-15
-1.25723 1.16214e-15
-1.24725 1.03087e-15
-1.23727 1.13654e-15
-1.22729 1.02739e-15
-1.21731 1.04077e-15
-1.20734 1.12756e-15
-1.19736 8.5071e-16
-1.18738 1.156e-15
-1.1774 9.27431e-16
-1.16742 9.41555e-16
-1.15745 9.8839e-16
-1.14747 8.7193e-16
-1.13749 7.613e-16
-1.12751 7.20149e-16
-1.11753 0.0663492
-1.10756 0.174914
-1.09758 0.226913
-1.0876 0.263192
-1.07762 0.290966
-1.06764 0.313869
-1.05767 0.333184
-1.04769 0.349975
-1.03771 0.364776
-1.02773 0.378005
-1.01775 0.389967
-1.00778 0.400896
-0.997799 0.410908
-0.987821 0.420177
-0.977843 0.42875
-0.967865 0.436782
-0.957887 0.444347
-0.947909 0.451423
-0.937931 0.458094
-0.927953 0.464472
