# ---X---	---Y---
-5.10873 2.96576e-08
-5.09875 2.96576e-08
-5.08877 2.96575e-08
-5.0788 2.96575e-08
-5.06882 2.96575e-08
-5.05884 2.96575e-08
-5.04886 2.96574e-08
-5.03888 2.96574e-08
-5.02891 2.96573e-08
-5.01893 2.96573e-08
-5.00895 2.96572e-08
-4.99897 2.96572e-08
-4.98899 2.96572e-08
-4.97902 2.96571e-08
-4.96904 2.9657e-08
-4.95906 2.9657e-08
-4.94908 2.96569e-08
-4.9391 2.96568e-08
-4.92913 2.96568e-08
-4.91915 2.96567e-08
-4.90917 2.96565e-08
-4.89919 2.96564e-08
-4.88921 2.96564e-08
-4.87924 2.96563e-08
-4.86926 2.96561e-08
-4.85928 2.9656e-08
-4.8493 2.96559e-08
-4.83932 2.96558e-08
-4.82935 2.96556e-08
-4.81937 2.96555e-08
-4.80939 2.96554e-08
-4.79941 2.96552e-08
-4.78943 2.96551e-08
-4.77946 2.96549e-08
-4.76948 2.96547e-08
-4.7595 2.96546e-08
-4.74952 2.96544e-08
-4.73954 2.96543e-08
-4.72957 2.96541e-08
-4.71959 2.96539e-08
-4.70961 2.96537e-08
-4.69963 2.96535e-08
-4.68965 2.96533e-08
-4.67968 2.96531e-08
-4.6697 2.96529e-08
-4.65972 2.96527e-08
-4.64974 2.96525e-08
-4.63976 2.96523e-08
-4.62979 2.9652e-08
-4.61981 2.96518e-08
-4.60983 2.96515e-08
-4.59985 2.96513e-08
-4.58987 2.96511e-08
-4.5799 2.96508e-08
-4.56992 2.96505e-08
-4.55994 2.96503e-08
-4.54996 2.965e-08
-4.53998 2.96497e-08
-4.53001 2.96495e-08
-4.52003 2.96491e-08
-4.51005 2.96488e-08
-4.50007 2.96486e-08
-4.49009 2.96482e-08
-4.48012 2.96479e-08
-4.47014 2.96476e-08
-4.46016 2.96473e-08
-4.45018 2.9647e-08
-4.4402 2.96466e-08
-4.43023 2.96462e-08
-4.42025 2.96459e-08
-4.41027 2.96455e-08
-4.40029 2.96452e-08
-4.39031 2.96448e-08
-4.38034 2.96445e-08
-4.37036 2.96441e-08
-4.36038 2.96437e-08
-4.3504 2.96433e-08
-4.34042 2.96429e-08
-4.33045 2.96425e-08
-4.32047 2.96421e-08
-4.31049 2.96417e-08
-4.30051 2.96412e-08
-4.29053 2.96408e-08
-4.28056 2.96404e-08
-4.27058 2.96399e-08
-4.2606 2.96394e-08
-4.25062 2.96389e-08
-4.24064 2.96385e-08
-4.23067 2.96381e-08
-4.22069 2.96376e-08
-4.21071 2.96371e-08
-4.20073 2.96365e-08
-4.19075 2.96361e-08
-4.18078 2.96356e-08
-4.1708 2.9635e-08
-4.16082 2.96344e-08
-4.15084 2.9634e-08
-4.14086 2.96334e-08
-4.13089 2.96328e-08
-4.12091 2.96323e-08
-4.11093 2.96317e-08
-4.10095 2.96312e-08
-4.09097 2.96305e-08
-4.081 2.963e-08
-4.07102 2.96293e-08
-4.06104 2.96287e-08
-4.05106 2.96281e-08
-4.04108 2.96275e-08
-4.03111 2.96268e-08
-4.02113 2.96262e-08
-4.01115 2.96255e-08
-4.00117 2.96249e-08
-3.99119 2.96242e-08
-3.98122 2.96235e-08
-3.97124 2.96228e-08
-3.96126 2.96221e-08
-3.95128 2.96214e-08
-3.94131 2.96206e-08
-3.93133 2.96199e-08
-3.92135 2.96192e-08
-3.91137 2.96184e-08
-3.90139 2.96177e-08
-3.89142 2.96169e-08
-3.88144 2.96161e-08
-3.87146 2.96153e-08
-3.86148 2.96145e-08
-3.8515 2.96137e-08
-3.84153 2.96129e-08
-3.83155 2.96121e-08
-3.82157 2.96112e-08
-3.81159 2.96103e-08
-3.80161 2.96094e-08
-3.79164 2.96085e-08
-3.78166 2.96076e-08
-3.77168 2.96068e-08
-3.7617 2.96059e-08
-3.75172 2.96049e-08
-3.74175 2.9604e-08
-3.73177 2.9603e-08
-3.72179 2.9602e-08
-3.71181 2.96011e-08
-3.70183 2.96001e-08
-3.69186 2.95991e-08
-3.68188 2.9598e-08
-3.6719 2.95971e-08
-3.66192 2.9596e-08
-3.65194 2.95949e-08
-3.64197 2.95938e-08
-3.63199 2.95928e-08
-3.62201 2.95917e-08
-3.61203 2.95906e-08
-3.60205 2.95894e-08
-3.59208 2.95883e-08
-3.5821 2.95872e-08
-3.57212 2.9586e-08
-3.56214 2.95848e-08
-3.55216 2.95836e-08
-3.54219 2.95824e-08
-3.53221 2.95812e-08
-3.52223 2.95799e-08
-3.51225 2.95787e-08
-3.50227 2.95774e-08
-3.4923 2.95761e-08
-3.48232 2.95748e-08
-3.47234 2.95735e-08
-3.46236 2.95722e-08
-3.45238 2.95708e-08
-3.44241 2.95694e-08
-3.43243 2.9568e-08
-3.42245 2.95666e-08
-3.41247 2.95652e-08
-3.40249 2.95637e-08
-3.39252 2.95623e-08
-3.38254 2.95609e-08
-3.37256 2.95593e-08
-3.36258 2.95578e-08
-3.3526 2.95563e-08
-3.34263 2.95548e-08
-3.33265 2.95532e-08
-3.32267 2.95516e-08
-3.31269 2.955e-08
-3.30271 2.95484e-08
-3.29274 2.95468e-08
-3.28276 2.95451e-08
-3.27278 2.95434e-08
-3.2628 2.95418e-08
-3.25282 2.95401e-08
-3.24285 2.95383e-08
-3.23287 2.95365e-08
-3.22289 2.95348e-08
-3.21291 2.9533e-08
-3.20293 2.95312e-08
-3.19296 2.95293e-08
-3.18298 2.95275e-08
-3.173 2.95255e-08
-3.16302 2.95237e-08
-3.15304 2.95218e-08
-3.14307 2.95198e-08
-3.13309 2.95178e-08
-3.12311 2.95158e-08
-3.11313 2.95138e-08
-3.10315 2.95118e-08
-3.09318 2.95097e-08
-3.0832 2.95077e-08
-3.07322 2.95056e-08
-3.06324 2.95034e-08
-3.05326 2.95012e-08
-3.04329 2.94991e-08
-3.03331 2.94969e-08
-3.02333 2.94947e-08
-3.01335 2.94924e-08
-3.00337 2.94902e-08
-2.9934 2.94878e-08
-2.98342 2.94855e-08
-2.97344 2.94832e-08
-2.96346 2.94808e-08
-2.95348 2.94784e-08
-2.94351 2.9476e-08
-2.93353 2.94735e-08
-2.92355 2.9471e-08
-2.91357 2.94685e-08
-2.90359 2.94659e-08
-2.89362 2.94634e-08
-2.88364 2.94608e-08
-2.87366 2.94581e-08
-2.86368 2.94555e-08
-2.8537 2.94528e-08
-2.84373 2.94501e-08
