# ---X---	---$p_\mathrm{z}/p_\mathrm{H}$---
-2.8537 3.7853e-07
-2.84373 3.78481e-07
-2.83375 3.78431e-07
-2.82377 3.78381e-07
-2.81379 3.7833e-07
-2.80381 3.7828e-07
-2.79384 3.78228e-07
-2.78386 3.78177e-07
-2.77388 3.78125e-07
-2.7639 3.78073e-07
-2.75392 3.7802e-07
-2.74395 3.77967e-07
-2.73397 3.77914e-07
-2.72399 3.7786e-07
-2.71401 3.77806e-07
-2.70403 3.77752e-07
-2.69406 3.77697e-07
-2.68408 3.77642e-07
-2.6741 3.77586e-07
-2.66412 3.7753e-07
-2.65414 3.77474e-07
-2.64417 3.77417e-07
-2.63419 3.7736e-07
-2.62421 3.77303e-07
-2.61423 3.77245e-07
-2.60425 3.77187e-07
-2.59428 3.77128e-07
-2.5843 3.7707e-07
-2.57432 3.7701e-07
-2.56434 3.7695e-07
-2.55436 3.7689e-07
-2.54439 3.7683e-07
-2.53441 3.76768e-07
-2.52443 3.76707e-07
-2.51445 3.76645e-07
-2.50447 3.76583e-07
-2.4945 3.7652e-07
-2.48452 3.76457e-07
-2.47454 3.76393e-07
-2.46456 3.7633e-07
-2.45458 3.76265e-07
-2.44461 3.76201e-07
-2.43463 3.76135e-07
-2.42465 3.76069e-07
-2.41467 3.76003e-07
-2.40469 3.75937e-07
-2.39472 3.75869e-07
-2.38474 3.75802e-07
-2.37476 3.75734e-07
-2.36478 3.75665e-07
-2.35481 3.75596e-07
-2.34483 3.75527e-07
-2.33485 3.75457e-07
-2.32487 3.75387e-07
-2.31489 3.75316e-07
-2.30492 3.75245e-07
-2.29494 3.75173e-07
-2.28496 3.751e-07
-2.27498 3.75027e-07
-2.265 3.74954e-07
-2.25503 3.74881e-07
-2.24505 3.74806e-07
-2.23507 3.74731e-07
-2.22509 3.74656e-07
-2.21511 3.7458e-07
-2.20514 3.74503e-07
-2.19516 3.74426e-07
-2.18518 3.74349e-07
-2.1752 3.74271e-07
-2.16522 3.74193e-07
-2.15525 3.74113e-07
-2.14527 3.74034e-07
-2.13529 3.73954e-07
-2.12531 3.73873e-07
-2.11533 3.73791e-07
-2.10536 3.73709e-07
-2.09538 3.73626e-07
-2.0854 3.73544e-07
-2.07542 3.73459e-07
-2.06544 3.73375e-07
-2.05547 3.7329e-07
-2.04549 3.73205e-07
-2.03551 3.73118e-07
-2.02553 3.73032e-07
