# ---X---	---Y---
-5.10873 1.0032
-5.09875 1.00323
-5.08877 1.00328
-5.0788 1.00333
-5.06882 1.00333
-5.05884 1.00338
-5.04886 1.00343
-5.03888 1.00343
-5.02891 1.00348
-5.01893 1.00353
-5.00895 1.00356
-4.99897 1.00361
-4.98899 1.00364
-4.97902 1.00366
-4.96904 1.00371
-4.95906 1.00376
-4.94908 1.00379
-4.9391 1.00381
-4.92913 1.00387
-4.91915 1.00389
-4.90917 1.00394
-4.89919 1.00399
-4.88921 1.00399
-4.87924 1.00404
-4.86926 1.0041
-4.85928 1.00412
-4.8493 1.00417
-4.83932 1.0042
-4.82935 1.00425
-4.81937 1.0043
-4.80939 1.0043
-4.79941 1.00435
-4.78943 1.0044
-4.77946 1.00443
-4.76948 1.00448
-4.7595 1.00453
-4.74952 1.00456
-4.73954 1.00458
-4.72957 1.00463
-4.71959 1.00468
-4.70961 1.00474
-4.69963 1.00476
-4.68965 1.00479
-4.67968 1.00484
-4.6697 1.00489
-4.65972 1.00492
-4.64974 1.00494
-4.63976 1.00499
-4.62979 1.00504
-4.61981 1.00509
-4.60983 1.00515
-4.59985 1.00517
-4.58987 1.0052
-4.5799 1.00525
-4.56992 1.0053
-4.55994 1.00535
-4.54996 1.0054
-4.53998 1.00543
-4.53001 1.00545
-4.52003 1.0055
-4.51005 1.00556
-4.50007 1.00561
-4.49009 1.00566
-4.48012 1.00568
-4.47014 1.00573
-4.46016 1.00579
-4.45018 1.00581
-4.4402 1.00586
-4.43023 1.00591
-4.42025 1.00596
-4.41027 1.00602
-4.40029 1.00604
-4.39031 1.00609
-4.38034 1.00614
-4.37036 1.0062
-4.36038 1.00625
-4.3504 1.00627
-4.34042 1.00632
-4.33045 1.00637
-4.32047 1.00643
-4.31049 1.00648
-4.30051 1.00653
-4.29053 1.00658
-4.28056 1.0066
-4.27058 1.00666
-4.2606 1.00673
-4.25062 1.00676
-4.24064 1.00681
-4.23067 1.00689
-4.22069 1.00691
-4.21071 1.00696
-4.20073 1.00701
-4.19075 1.00707
-4.18078 1.00714
-4.1708 1.00717
-4.16082 1.00722
-4.15084 1.00727
-4.14086 1.00732
-4.13089 1.0074
-4.12091 1.00745
-4.11093 1.00748
-4.10095 1.00753
-4.09097 1.0076
-4.081 1.00765
-4.07102 1.00771
-4.06104 1.00776
-4.05106 1.00783
-4.04108 1.00788
-4.03111 1.00791
-4.02113 1.00799
-4.01115 1.00806
-4.00117 1.00809
-3.99119 1.00814
-3.98122 1.00822
-3.97124 1.00827
-3.96126 1.00835
-3.95128 1.0084
-3.94131 1.00845
-3.93133 1.00852
-3.92135 1.00858
-3.91137 1.00863
-3.90139 1.00868
-3.89142 1.00876
-3.88144 1.00883
-3.87146 1.00888
-3.86148 1.00893
-3.8515 1.00901
-3.84153 1.00906
-3.83155 1.00911
-3.82157 1.00922
-3.81159 1.00927
-3.80161 1.00932
-3.79164 1.0094
-3.78166 1.00947
-3.77168 1.00952
-3.7617 1.00957
-3.75172 1.00968
-3.74175 1.00973
-3.73177 1.00978
-3.72179 1.00988
-3.71181 1.00996
-3.70183 1.01001
-3.69186 1.01006
-3.68188 1.01014
-3.6719 1.01021
-3.66192 1.01029
-3.65194 1.01037
-3.64197 1.01044
-3.63199 1.01052
-3.62201 1.0106
-3.61203 1.01068
-3.60205 1.01073
-3.59208 1.0108
-3.5821 1.01091
-3.57212 1.01098
-3.56214 1.01103
-3.55216 1.01111
-3.54219 1.01121
-3.53221 1.01129
-3.52223 1.01137
-3.51225 1.01144
-3.50227 1.01152
-3.4923 1.01162
-3.48232 1.0117
-3.47234 1.01178
-3.46236 1.01185
-3.45238 1.01196
-3.44241 1.01206
-3.43243 1.01211
-3.42245 1.01219
-3.41247 1.01231
-3.40249 1.01239
-3.39252 1.01247
-3.38254 1.01257
-3.37256 1.01265
-3.36258 1.01275
-3.3526 1.01285
-3.34263 1.01295
-3.33265 1.01303
-3.32267 1.01311
-3.31269 1.01321
-3.30271 1.01334
-3.29274 1.01344
-3.28276 1.01352
-3.27278 1.01359
-3.2628 1.0137
-3.25282 1.01382
-3.24285 1.01393
-3.23287 1.01403
-3.22289 1.01413
-3.21291 1.01423
-3.20293 1.01434
-3.19296 1.01444
-3.18298 1.01457
-3.173 1.01467
-3.16302 1.01477
-3.15304 1.01487
-3.14307 1.015
-3.13309 1.01513
-3.12311 1.01521
-3.11313 1.01533
-3.10315 1.01546
-3.09318 1.01556
-3.0832 1.01569
-3.07322 1.01582
-3.06324 1.01595
-3.05326 1.01608
-3.04329 1.01618
-3.03331 1.01631
-3.02333 1.01644
-3.01335 1.01656
-3.00337 1.01669
-2.9934 1.01682
-2.98342 1.01695
-2.97344 1.01708
-2.96346 1.01723
-2.95348 1.01736
-2.94351 1.01748
-2.93353 1.01764
-2.92355 1.01777
-2.91357 1.01792
-2.90359 1.01807
-2.89362 1.0182
-2.88364 1.01833
-2.87366 1.01848
-2.86368 1.01866
-2.8537 1.01879
-2.84373 1.01894
-2.83375 1.01912
-2.82377 1.01925
-2.81379 1.0194
-2.80381 1.01958
-2.79384 1.01974
-2.78386 1.01989
-2.77388 1.02007
-2.7639 1.02025
-2.75392 1.0204
-2.74395 1.02056
-2.73397 1.02074
-2.72399 1.02094
-2.71401 1.02109
-2.70403 1.02127
-2.69406 1.02148
-2.68408 1.02163
-2.6741 1.02181
-2.66412 1.02202
-2.65414 1.0222
-2.64417 1.0224
-2.63419 1.0226
-2.62421 1.02278
-2.61423 1.02299
-2.60425 1.02317
-2.59428 1.02337
-2.5843 1.0236
-2.57432 1.02381
-2.56434 1.02401
-2.55436 1.02424
-2.54439 1.02445
-2.53441 1.02465
-2.52443 1.02491
-2.51445 1.02514
-2.50447 1.02534
-2.4945 1.02557
-2.48452 1.0258
-2.47454 1.02604
-2.46456 1.02629
-2.45458 1.02655
-2.44461 1.0268
-2.43463 1.02703
-2.42465 1.02726
-2.41467 1.02755
-2.40469 1.02783
-2.39472 1.02806
-2.38474 1.02834
-2.37476 1.02862
-2.36478 1.02888
-2.35481 1.02916
-2.34483 1.02944
-2.33485 1.02975
-2.32487 1.03003
-2.31489 1.03034
-2.30492 1.03064
-2.29494 1.03092
-2.28496 1.03123
