# ---X---	---$u_\mathrm{z}$---
-2.44461 0.0313888
-2.43463 0.0313617
-2.42465 0.0313343
-2.41467 0.0313066
-2.40469 0.0312787
-2.39472 0.0312505
-2.38474 0.031222
-2.37476 0.0311932
-2.36478 0.0311642
-2.35481 0.0311348
-2.34483 0.0311052
-2.33485 0.0310753
-2.32487 0.0310451
-2.31489 0.0310145
-2.30492 0.0309837
-2.29494 0.0309525
-2.28496 0.0309211
-2.27498 0.0308893
-2.265 0.0308571
-2.25503 0.0308247
-2.24505 0.0307919
-2.23507 0.0307588
-2.22509 0.0307253
-2.21511 0.0306915
-2.20514 0.0306573
-2.19516 0.0306227
-2.18518 0.0305878
-2.1752 0.0305525
-2.16522 0.0305169
-2.15525 0.0304808
-2.14527 0.0304444
-2.13529 0.0304076
-2.12531 0.0303703
-2.11533 0.0303327
-2.10536 0.0302946
-2.09538 0.0302562
-2.0854 0.0302173
-2.07542 0.0301779
-2.06544 0.0301381
-2.05547 0.0300979
-2.04549 0.0300572
-2.03551 0.0300161
-2.02553 0.0299745
-2.01555 0.0299324
-2.00558 0.0298898
-1.9956 0.0298468
-1.98562 0.0298032
-1.97564 0.0297591
-1.96566 0.0297145
-1.95569 0.0296694
-1.94571 0.0296237
-1.93573 0.0295775
-1.92575 0.0295307
-1.91577 0.0294834
-1.9058 0.0294355
-1.89582 0.029387
-1.88584 0.0293379
-1.87586 0.0292882
-1.86588 0.0292379
-1.85591 0.0291869
-1.84593 0.0291353
-1.83595 0.0290831
-1.82597 0.0290301
-1.81599 0.0289765
-1.80602 0.0289222
-1.79604 0.0288672
-1.78606 0.0288115
-1.77608 0.028755
-1.7661 0.0286978
-1.75613 0.0286398
-1.74615 0.0285811
-1.73617 0.0285215
-1.72619 0.0284611
-1.71621 0.0283999
-1.70624 0.0283379
-1.69626 0.028275
-1.68628 0.0282112
-1.6763 0.0281465
-1.66632 0.0280808
-1.65635 0.0280143
-1.64637 0.0279467
-1.63639 0.0278782
-1.62641 0.0278087
-1.61643 0.0277381
-1.60646 0.0276664
-1.59648 0.0275937
-1.5865 0.0275199
-1.57652 0.0274449
-1.56654 0.0273688
-1.55657 0.0272915
-1.54659 0.027213
