# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 0.999992
-5.09875 0.999992
-5.08877 0.999992
-5.0788 0.999993
-5.06882 0.999993
-5.05884 0.999999
-5.04886 0.999993
-5.03888 0.999993
-5.02891 0.999993
-5.01893 0.999993
-5.00895 1
-4.99897 1
-4.98899 0.999993
-4.97902 1
-4.96904 0.999994
-4.95906 1
-4.94908 0.999994
-4.9391 1
-4.92913 1
-4.91915 0.999994
-4.90917 0.999994
-4.89919 0.999994
-4.88921 0.999994
-4.87924 0.999994
-4.86926 0.999995
-4.85928 1
-4.8493 1
-4.83932 0.999995
-4.82935 0.999995
-4.81937 0.999995
-4.80939 0.999995
-4.79941 0.999995
-4.78943 0.999995
-4.77946 1
-4.76948 0.999995
-4.7595 0.999995
-4.74952 0.999995
-4.73954 0.999995
-4.72957 0.999995
-4.71959 1
-4.70961 0.999996
-4.69963 0.999996
-4.68965 0.999996
-4.67968 0.999996
-4.6697 0.999996
-4.65972 0.999996
-4.64974 0.999996
-4.63976 0.999996
-4.62979 0.999996
-4.61981 0.999996
-4.60983 0.999996
-4.59985 0.999996
-4.58987 0.999996
-4.5799 0.999996
-4.56992 0.999996
-4.55994 0.999996
-4.54996 0.999996
-4.53998 0.999996
-4.53001 0.999996
-4.52003 0.999996
-4.51005 0.999997
-4.50007 0.999997
-4.49009 0.999997
-4.48012 0.999997
-4.47014 0.999997
-4.46016 0.999997
-4.45018 0.999997
-4.4402 0.999997
-4.43023 0.999997
-4.42025 0.999997
-4.41027 0.999997
-4.40029 0.999997
-4.39031 0.999992
-4.38034 0.999997
-4.37036 0.999992
-4.36038 0.999997
-4.3504 0.999997
-4.34042 0.999997
-4.33045 0.999997
-4.32047 0.999997
-4.31049 0.999997
-4.30051 0.999997
-4.29053 0.999997
-4.28056 0.999997
-4.27058 0.999993
-4.2606 0.999997
-4.25062 0.999997
-4.24064 0.999993
-4.23067 0.999997
-4.22069 0.999997
-4.21071 0.999993
-4.20073 0.999997
-4.19075 0.999993
-4.18078 0.999997
-4.1708 0.999997
-4.16082 0.999998
-4.15084 0.999998
-4.14086 0.999994
-4.13089 0.999998
-4.12091 0.999998
-4.11093 0.999998
-4.10095 0.999994
-4.09097 0.999994
-4.081 0.999994
-4.07102 0.999998
-4.06104 0.999994
-4.05106 0.999994
-4.04108 0.999998
-4.03111 0.999998
-4.02113 0.999994
-4.01115 0.999998
-4.00117 0.999995
-3.99119 0.999995
-3.98122 0.999995
-3.97124 0.999995
-3.96126 0.999995
-3.95128 0.999998
-3.94131 0.999995
-3.93133 0.999998
-3.92135 0.999998
-3.91137 0.999998
-3.90139 0.999998
-3.89142 0.999995
-3.88144 0.999998
-3.87146 0.999998
-3.86148 0.999998
-3.8515 0.999995
-3.84153 0.999995
-3.83155 0.999995
-3.82157 0.999995
-3.81159 0.999996
-3.80161 0.999996
-3.79164 0.999998
-3.78166 0.999996
-3.77168 0.999996
-3.7617 0.999996
-3.75172 0.999996
-3.74175 0.999996
-3.73177 0.999996
-3.72179 0.999996
-3.71181 0.999996
-3.70183 0.999996
-3.69186 0.999996
-3.68188 0.999996
-3.6719 0.999996
-3.66192 0.999996
-3.65194 0.999996
-3.64197 0.999996
-3.63199 0.999996
-3.62201 0.999996
-3.61203 0.999996
-3.60205 0.999996
-3.59208 0.999996
-3.5821 0.999996
-3.57212 0.999996
-3.56214 0.999996
-3.55216 0.999996
-3.54219 0.999996
-3.53221 0.999996
-3.52223 0.999994
-3.51225 0.999997
-3.50227 0.999997
-3.4923 0.999997
-3.48232 0.999997
-3.47234 0.999994
-3.46236 0.999997
-3.45238 0.999997
-3.44241 0.999997
-3.43243 0.999997
-3.42245 0.999994
-3.41247 0.999997
-3.40249 0.999997
-3.39252 0.999995
-3.38254 0.999997
-3.37256 0.999995
-3.36258 0.999995
-3.3526 0.999995
-3.34263 0.999995
-3.33265 0.999997
-3.32267 0.999995
-3.31269 0.999995
-3.30271 0.999995
-3.29274 0.999997
-3.28276 0.999997
-3.27278 0.999995
-3.2628 0.999995
-3.25282 0.999995
-3.24285 0.999995
-3.23287 0.999995
-3.22289 0.999995
-3.21291 0.999995
-3.20293 0.999995
-3.19296 0.999996
-3.18298 0.999996
-3.173 0.999996
-3.16302 0.999996
-3.15304 0.999996
-3.14307 0.999996
-3.13309 0.999996
-3.12311 0.999994
-3.11313 0.999996
-3.10315 0.999996
-3.09318 0.999996
-3.0832 0.999996
-3.07322 0.999996
-3.06324 0.999996
-3.05326 0.999994
-3.04329 0.999996
-3.03331 0.999994
-3.02333 0.999994
-3.01335 0.999994
-3.00337 0.999994
-2.9934 0.999994
-2.98342 0.999995
-2.97344 0.999995
-2.96346 0.999995
-2.95348 0.999995
-2.94351 0.999995
-2.93353 0.999995
-2.92355 0.999995
-2.91357 0.999995
-2.90359 0.999995
-2.89362 0.999995
-2.88364 0.999995
-2.87366 0.999993
-2.86368 0.999995
-2.8537 0.999995
-2.84373 0.999993
-2.83375 0.999995
-2.82377 0.999994
-2.81379 0.999995
-2.80381 0.999995
-2.79384 0.999995
-2.78386 0.999995
-2.77388 0.999994
-2.7639 0.999994
-2.75392 0.999994
-2.74395 0.999994
-2.73397 0.999994
-2.72399 0.999994
-2.71401 0.999994
-2.70403 0.999994
-2.69406 0.999994
-2.68408 0.999994
-2.6741 0.999994
-2.66412 0.999995
-2.65414 0.999995
-2.64417 0.999993
-2.63419 0.999995
-2.62421 0.999995
-2.61423 0.999993
-2.60425 0.999993
-2.59428 0.999993
-2.5843 0.999994
-2.57432 0.999994
-2.56434 0.999994
-2.55436 0.999994
-2.54439 0.999994
-2.53441 0.999994
-2.52443 0.999994
-2.51445 0.999994
-2.50447 0.999994
-2.4945 0.999993
-2.48452 0.999993
-2.47454 0.999993
-2.46456 0.999993
-2.45458 0.999993
-2.44461 0.999993
-2.43463 0.999993
-2.42465 0.999993
-2.41467 0.999993
-2.40469 0.999992
-2.39472 0.999993
-2.38474 0.999994
-2.37476 0.999992
-2.36478 0.999992
-2.35481 0.999993
-2.34483 0.999993
-2.33485 0.999993
-2.32487 0.999993
-2.31489 0.999993
-2.30492 0.999992
-2.29494 0.999992
-2.28496 0.999992
-2.27498 0.999992
-2.265 0.999992
-2.25503 0.999992
-2.24505 0.999992
-2.23507 0.999992
-2.22509 0.999992
-2.21511 0.999991
-2.20514 0.999991
-2.19516 0.999992
-2.18518 0.999991
-2.1752 0.999991
-2.16522 0.999992
-2.15525 0.999991
-2.14527 0.999991
-2.13529 0.99999
-2.12531 0.99999
-2.11533 0.99999
-2.10536 0.99999
-2.09538 0.999992
-2.0854 0.999991
-2.07542 0.999991
-2.06544 0.999991
-2.05547 0.99999
-2.04549 0.99999
-2.03551 0.99999
-2.02553 0.99999
-2.01555 0.99999
-2.00558 0.99999
-1.9956 0.99999
-1.98562 0.99999
-1.97564 0.99999
-1.96566 0.999989
-1.95569 0.999989
-1.94571 0.999989
-1.93573 0.99999
-1.92575 0.99999
-1.91577 0.999989
-1.9058 0.999989
-1.89582 0.999988
-1.88584 0.999988
-1.87586 0.999989
-1.86588 0.999988
-1.85591 0.999988
-1.84593 0.999988
-1.83595 0.999987
-1.82597 0.999988
-1.81599 0.999988
-1.80602 0.999987
-1.79604 0.999988
-1.78606 0.999988
-1.77608 0.999987
-1.7661 0.999987
-1.75613 0.999987
-1.74615 0.999987
-1.73617 0.999986
-1.72619 0.999987
-1.71621 0.999987
-1.70624 0.999987
-1.69626 0.999986
-1.68628 0.999986
-1.6763 0.999986
-1.66632 0.999986
-1.65635 0.999986
-1.64637 0.999986
-1.63639 0.999985
-1.62641 0.999985
-1.61643 0.999985
-1.60646 0.999985
-1.59648 0.999985
-1.5865 0.999985
-1.57652 0.999984
-1.56654 0.999984
-1.55657 0.999984
-1.54659 0.999984
-1.53661 0.999983
-1.52663 0.999984
-1.51665 0.999983
-1.50668 0.999983
-1.4967 0.999983
-1.48672 0.999983
-1.47674 0.999982
-1.46676 0.999983
-1.45679 0.999982
-1.44681 0.999982
-1.43683 0.999981
-1.42685 0.999982
-1.41687 0.999982
-1.4069 0.999981
-1.39692 0.999981
-1.38694 0.999981
-1.37696 0.999981
-1.36698 0.99998
-1.35701 0.99998
-1.34703 0.99998
-1.33705 0.99998
-1.32707 0.99998
-1.31709 0.99998
-1.30712 0.999979
-1.29714 0.999979
-1.28716 0.999979
-1.27718 0.999979
-1.2672 0.999979
-1.25723 0.999978
-1.24725 0.999978
-1.23727 0.999978
-1.22729 0.999978
-1.21731 0.999978
-1.20734 0.999978
-1.19736 0.999977
-1.18738 0.999978
-1.1774 0.999978
-1.16742 0.999978
-1.15745 0.999978
-1.14747 0.999979
-1.13749 0.999979
-1.12751 0.99998
-1.11753 0.997777
-1.10756 0.984568
-1.09758 0.9739
-1.0876 0.964729
-1.07762 0.95672
-1.06764 0.949453
-1.05767 0.942849
-1.04769 0.936747
-1.03771 0.931084
-1.02773 0.925792
-1.01775 0.920818
-1.00778 0.916113
-0.997799 0.911666
-0.987821 0.907432
-0.977843 0.903413
-0.967865 0.899558
-0.957887 0.895845
-0.947909 0.892301
-0.937931 0.888895
-0.927953 0.885579
-0.917975 0.8824
-0.907997 0.879325
-0.898019 0.876338
-0.888041 0.873445
-0.878063 0.870631
-0.868085 0.867905
-0.858107 0.865236
-0.848129 0.862648
-0.838151 0.860112
-0.828173 0.857638
-0.818195 0.855224
-0.808217 0.852854
-0.798239 0.85054
-0.788261 0.848267
-0.778283 0.846061
-0.768305 0.843877
-0.758327 0.841712
-0.748349 0.839612
-0.738371 0.83756
-0.728393 0.835523
-0.718415 0.833501
-0.708437 0.831524
-0.698459 0.82959
-0.688481 0.827668
-0.678503 0.825788
-0.668525 0.823918
-0.658547 0.822056
-0.648569 0.820251
-0.638591 0.818453
-0.628613 0.816677
-0.618635 0.814908
-0.608657 0.81316
-0.598679 0.811449
-0.588701 0.809743
-0.578723 0.808056
-0.568745 0.806373
-0.558767 0.804708
-0.548789 0.803062
-0.538811 0.801433
-0.528833 0.799806
-0.518855 0.798196
-0.508877 0.796603
-0.498899 0.794993
-0.488921 0.793416
-0.478943 0.791871
-0.468965 0.790308
-0.458987 0.788743
-0.449009 0.78721
-0.439031 0.785674
-0.429053 0.784136
-0.419075 0.782611
-0.409097 0.781099
-0.399119 0.779584
-0.389142 0.778081
-0.379164 0.776574
-0.369186 0.775079
-0.359208 0.773596
