# ---X---	---Y---
-5.10873 0.0339966
-5.09875 0.0339966
-5.08877 0.0339964
-5.0788 0.0339962
-5.06882 0.033996
-5.05884 0.0339957
-5.04886 0.0339954
-5.03888 0.033995
-5.02891 0.0339945
-5.01893 0.033994
-5.00895 0.0339935
-4.99897 0.0339929
-4.98899 0.0339922
-4.97902 0.0339915
-4.96904 0.0339907
-4.95906 0.0339899
-4.94908 0.033989
-4.9391 0.0339881
-4.92913 0.0339871
-4.91915 0.0339861
-4.90917 0.033985
-4.89919 0.0339839
-4.88921 0.0339827
-4.87924 0.0339815
-4.86926 0.0339802
-4.85928 0.0339788
-4.8493 0.0339774
-4.83932 0.033976
-4.82935 0.0339744
-4.81937 0.0339729
-4.80939 0.0339713
-4.79941 0.0339696
-4.78943 0.0339679
-4.77946 0.0339661
-4.76948 0.0339642
-4.7595 0.0339624
-4.74952 0.0339604
-4.73954 0.0339584
-4.72957 0.0339564
-4.71959 0.0339543
-4.70961 0.0339521
-4.69963 0.0339499
-4.68965 0.0339476
-4.67968 0.0339453
-4.6697 0.0339429
-4.65972 0.0339405
-4.64974 0.033938
-4.63976 0.0339354
-4.62979 0.0339328
-4.61981 0.0339302
-4.60983 0.0339275
-4.59985 0.0339247
-4.58987 0.0339219
-4.5799 0.033919
-4.56992 0.0339161
-4.55994 0.0339131
-4.54996 0.03391
-4.53998 0.0339069
-4.53001 0.0339037
-4.52003 0.0339005
-4.51005 0.0338973
-4.50007 0.0338939
-4.49009 0.0338905
-4.48012 0.0338871
-4.47014 0.0338836
-4.46016 0.03388
-4.45018 0.0338764
-4.4402 0.0338727
-4.43023 0.033869
-4.42025 0.0338652
-4.41027 0.0338613
-4.40029 0.0338574
-4.39031 0.0338534
-4.38034 0.0338494
-4.37036 0.0338453
-4.36038 0.0338411
-4.3504 0.0338369
-4.34042 0.0338327
-4.33045 0.0338283
-4.32047 0.0338239
-4.31049 0.0338195
-4.30051 0.033815
-4.29053 0.0338104
-4.28056 0.0338057
-4.27058 0.033801
-4.2606 0.0337963
-4.25062 0.0337915
-4.24064 0.0337866
-4.23067 0.0337816
-4.22069 0.0337766
-4.21071 0.0337715
-4.20073 0.0337664
-4.19075 0.0337612
-4.18078 0.0337559
-4.1708 0.0337506
-4.16082 0.0337452
-4.15084 0.0337398
-4.14086 0.0337342
-4.13089 0.0337286
-4.12091 0.033723
-4.11093 0.0337173
-4.10095 0.0337115
-4.09097 0.0337056
-4.081 0.0336997
-4.07102 0.0336937
-4.06104 0.0336877
-4.05106 0.0336816
-4.04108 0.0336754
-4.03111 0.0336691
-4.02113 0.0336628
-4.01115 0.0336564
