# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
1.50668 9.30534e-07
1.51665 9.26129e-07
1.52663 9.2168e-07
1.53661 9.17235e-07
1.54659 9.12704e-07
1.55657 9.08697e-07
1.56654 9.04572e-07
1.57652 9.00944e-07
1.5865 8.97175e-07
1.59648 8.93296e-07
1.60646 8.89827e-07
1.61643 8.86219e-07
1.62641 8.82414e-07
1.63639 8.79024e-07
1.64637 8.76004e-07
1.65635 8.72786e-07
1.66632 8.69925e-07
1.6763 8.6684e-07
1.68628 8.63491e-07
1.69626 8.605e-07
1.70624 8.57827e-07
1.71621 8.54888e-07
1.72619 8.52259e-07
1.73617 8.49328e-07
1.74615 8.46699e-07
1.75613 8.44382e-07
1.7661 8.41085e-07
1.77608 8.38716e-07
1.78606 8.35986e-07
1.79604 8.3354e-07
1.80602 8.31355e-07
1.81599 8.288e-07
1.82597 8.26489e-07
1.83595 8.23793e-07
1.84593 8.21324e-07
1.85591 8.19119e-07
1.86588 8.17135e-07
1.87586 8.14743e-07
1.88584 8.11869e-07
1.89582 8.09937e-07
1.9058 8.08197e-07
1.91577 8.06018e-07
1.92575 8.03339e-07
1.93573 8.00883e-07
1.94571 7.99309e-07
1.95569 7.97269e-07
1.96566 7.94699e-07
1.97564 7.93051e-07
1.98562 7.90862e-07
1.9956 7.8817e-07
2.00558 7.87065e-07
2.01555 7.84741e-07
2.02553 7.81834e-07
2.03551 7.80581e-07
2.04549 7.78746e-07
2.05547 7.76374e-07
2.06544 7.74139e-07
2.07542 7.7283e-07
2.0854 7.70925e-07
2.09538 7.677e-07
2.10536 7.66096e-07
2.11533 7.64674e-07
2.12531 7.62628e-07
2.13529 7.60745e-07
2.14527 7.58231e-07
2.15525 7.56632e-07
2.16522 7.54394e-07
2.1752 7.52301e-07
2.18518 7.51108e-07
2.19516 7.49285e-07
2.20514 7.46803e-07
2.21511 7.44456e-07
2.22509 7.43007e-07
2.23507 7.40905e-07
2.24505 7.3892e-07
2.25503 7.37061e-07
2.265 7.35311e-07
2.27498 7.32891e-07
2.28496 7.3057e-07
2.29494 7.29171e-07
2.30492 7.27873e-07
2.31489 7.25892e-07
2.32487 7.23204e-07
2.33485 7.21432e-07
2.34483 7.18943e-07
2.35481 7.17374e-07
2.36478 7.159e-07
2.37476 7.13716e-07
2.38474 7.11619e-07
2.39472 7.09625e-07
2.40469 7.07715e-07
2.41467 7.05904e-07
2.42465 7.0335e-07
2.43463 7.01719e-07
2.44461 7.0017e-07
2.45458 6.9705e-07
2.46456 6.95672e-07
2.47454 6.94386e-07
2.48452 6.91502e-07
2.4945 6.89541e-07
2.50447 6.87653e-07
2.51445 6.85852e-07
2.52443 6.83951e-07
2.53441 6.81371e-07
2.54439 6.79621e-07
2.55436 6.77611e-07
2.56434 6.75498e-07
2.57432 6.7346e-07
2.5843 6.71488e-07
2.59428 6.69418e-07
2.60425 6.67326e-07
2.61423 6.65219e-07
2.62421 6.63173e-07
2.63419 6.6111e-07
2.64417 6.59021e-07
2.65414 6.56998e-07
2.66412 6.54861e-07
2.6741 6.52701e-07
2.68408 6.50598e-07
2.69406 6.48557e-07
2.70403 6.46483e-07
2.71401 6.44297e-07
2.72399 6.42076e-07
2.73397 6.40002e-07
2.74395 6.37891e-07
2.75392 6.3575e-07
2.7639 6.33571e-07
2.77388 6.31361e-07
2.78386 6.29286e-07
2.79384 6.27089e-07
2.80381 6.24939e-07
2.81379 6.22754e-07
2.82377 6.20526e-07
2.83375 6.18349e-07
2.84373 6.16128e-07
2.8537 6.13868e-07
2.86368 6.11652e-07
2.87366 6.09569e-07
2.88364 6.07265e-07
2.89362 6.05007e-07
2.90359 6.02876e-07
2.91357 6.00528e-07
2.92355 5.98218e-07
2.93353 5.96038e-07
2.94351 5.93809e-07
2.95348 5.91533e-07
2.96346 5.89207e-07
2.97344 5.86922e-07
2.98342 5.84671e-07
2.9934 5.82373e-07
3.00337 5.80109e-07
3.01335 5.77796e-07
3.02333 5.75429e-07
3.03331 5.73099e-07
3.04329 5.708e-07
3.05326 5.6845e-07
3.06324 5.66133e-07
3.07322 5.63763e-07
3.0832 5.61422e-07
3.09318 5.59116e-07
3.10315 5.56752e-07
3.11313 5.54336e-07
3.12311 5.51947e-07
3.13309 5.4959e-07
3.14307 5.47174e-07
3.15304 5.44874e-07
3.16302 5.4243e-07
3.173 5.40015e-07
3.18298 5.37628e-07
3.19296 5.35183e-07
3.20293 5.32763e-07
3.21291 5.3037e-07
3.22289 5.27917e-07
3.23287 5.25408e-07
3.24285 5.23005e-07
3.25282 5.20629e-07
3.2628 5.18106e-07
3.27278 5.15611e-07
3.28276 5.1322e-07
3.29274 5.10771e-07
3.30271 5.08259e-07
3.31269 5.05771e-07
3.32267 5.03304e-07
3.33265 5.00777e-07
3.34263 4.9827e-07
3.3526 4.95704e-07
3.36258 4.93239e-07
3.37256 4.90796e-07
3.38254 4.88208e-07
3.39252 4.85641e-07
3.40249 4.83173e-07
3.41247 4.80645e-07
3.42245 4.78054e-07
3.43243 4.75563e-07
3.44241 4.73009e-07
3.45238 4.70393e-07
3.46236 4.67875e-07
3.47234 4.65295e-07
3.48232 4.62653e-07
3.4923 4.60106e-07
3.50227 4.57575e-07
3.51225 4.54984e-07
3.52223 4.52329e-07
3.53221 4.4977e-07
3.54219 4.47223e-07
3.55216 4.44541e-07
3.56214 4.41947e-07
3.57212 4.3937e-07
3.5821 4.36655e-07
3.59208 4.3403e-07
3.60205 4.31495e-07
3.61203 4.28823e-07
3.62201 4.26164e-07
3.63199 4.23519e-07
3.64197 4.20886e-07
3.65194 4.18268e-07
3.66192 4.15514e-07
3.6719 4.12848e-07
3.68188 4.10265e-07
3.69186 4.07551e-07
3.70183 4.04846e-07
3.71181 4.02229e-07
3.72179 3.99548e-07
3.73177 3.96808e-07
3.74175 3.94151e-07
3.75172 3.91434e-07
3.7617 3.88728e-07
3.77168 3.86033e-07
3.78166 3.83278e-07
3.79164 3.80605e-07
3.80161 3.7794e-07
3.81159 3.75216e-07
3.82157 3.72434e-07
3.83155 3.69665e-07
3.84153 3.66969e-07
3.8515 3.64284e-07
3.86148 3.61474e-07
3.87146 3.58741e-07
3.88144 3.56016e-07
3.89142 3.53235e-07
3.90139 3.50526e-07
3.91137 3.47763e-07
3.92135 3.45007e-07
3.93133 3.4226e-07
3.94131 3.39393e-07
3.95128 3.36662e-07
3.96126 3.33937e-07
3.97124 3.31096e-07
3.98122 3.28325e-07
3.99119 3.25561e-07
4.00117 3.22743e-07
4.01115 3.19993e-07
4.02113 3.17188e-07
4.03111 3.14334e-07
4.04108 3.11545e-07
4.05106 3.08762e-07
4.06104 3.05985e-07
4.07102 3.03158e-07
4.081 3.00335e-07
4.09097 2.97522e-07
4.10095 2.94711e-07
4.11093 2.91853e-07
4.12091 2.89001e-07
4.13089 2.86209e-07
4.14086 2.83368e-07
4.15084 2.80587e-07
4.16082 2.77758e-07
4.1708 2.74827e-07
4.18078 2.72009e-07
4.19075 2.69195e-07
4.20073 2.66334e-07
4.21071 2.63479e-07
4.22069 2.60628e-07
4.23067 2.57783e-07
4.24064 2.54892e-07
4.25062 2.52056e-07
4.2606 2.49176e-07
4.27058 2.463e-07
4.28056 2.43475e-07
4.29053 2.40609e-07
4.30051 2.377e-07
4.31049 2.34795e-07
4.32047 2.3194e-07
4.33045 2.2909e-07
4.34042 2.26197e-07
4.3504 2.2331e-07
4.36038 2.20426e-07
4.37036 2.17545e-07
4.38034 2.14669e-07
4.39031 2.11754e-07
4.40029 2.08843e-07
4.41027 2.05976e-07
4.42025 2.03072e-07
4.43023 2.00131e-07
4.4402 1.97272e-07
4.45018 1.94378e-07
4.46016 1.91449e-07
4.47014 1.88523e-07
4.48012 1.85638e-07
4.49009 1.82753e-07
4.50007 1.79801e-07
4.51005 1.76888e-07
4.52003 1.73977e-07
4.53001 1.71069e-07
4.53998 1.68128e-07
4.54996 1.65192e-07
4.55994 1.62323e-07
4.56992 1.59391e-07
4.5799 1.5643e-07
4.58987 1.53505e-07
4.59985 1.5061e-07
4.60983 1.47687e-07
4.61981 1.44709e-07
4.62979 1.41791e-07
4.63976 1.38874e-07
4.64974 1.35932e-07
4.65972 1.32992e-07
4.6697 1.30053e-07
4.67968 1.27117e-07
4.68965 1.24182e-07
4.69963 1.21225e-07
4.70961 1.18294e-07
4.71959 1.15363e-07
4.72957 1.12389e-07
4.73954 1.09461e-07
4.74952 1.06513e-07
4.7595 1.03566e-07
4.76948 1.00621e-07
4.77946 9.76606e-08
4.78943 9.47158e-08
4.79941 9.17645e-08
4.80939 8.88146e-08
4.81937 8.5862e-08
4.82935 8.29074e-08
4.83932 7.99522e-08
4.8493 7.69982e-08
4.85928 7.4042e-08
4.86926 7.10855e-08
4.87924 6.81297e-08
4.88921 6.51708e-08
4.89919 6.22127e-08
4.90917 5.92544e-08
4.91915 5.62944e-08
4.92913 5.33351e-08
4.9391 5.03743e-08
4.94908 4.74133e-08
4.95906 4.4452e-08
4.96904 4.14904e-08
4.97902 3.85284e-08
4.98899 3.55663e-08
4.99897 3.26038e-08
5.00895 2.96404e-08
5.01893 2.66769e-08
5.02891 2.37137e-08
5.03888 2.07499e-08
5.04886 1.77859e-08
5.05884 1.48218e-08
5.06882 1.18577e-08
