# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
-2.86368 6.11652e-07
-2.8537 6.13868e-07
-2.84373 6.16128e-07
-2.83375 6.18349e-07
-2.82377 6.20526e-07
-2.81379 6.22754e-07
-2.80381 6.24939e-07
-2.79384 6.27089e-07
-2.78386 6.29286e-07
-2.77388 6.31361e-07
-2.7639 6.33571e-07
-2.75392 6.3575e-07
-2.74395 6.37891e-07
-2.73397 6.40002e-07
-2.72399 6.42076e-07
-2.71401 6.44297e-07
-2.70403 6.46483e-07
-2.69406 6.48557e-07
-2.68408 6.50598e-07
-2.6741 6.52701e-07
-2.66412 6.54861e-07
-2.65414 6.56998e-07
-2.64417 6.59021e-07
-2.63419 6.6111e-07
-2.62421 6.63173e-07
-2.61423 6.65219e-07
-2.60425 6.67326e-07
-2.59428 6.69418e-07
-2.5843 6.71488e-07
-2.57432 6.7346e-07
-2.56434 6.75498e-07
-2.55436 6.77611e-07
-2.54439 6.79621e-07
-2.53441 6.81371e-07
-2.52443 6.83951e-07
-2.51445 6.85852e-07
-2.50447 6.87653e-07
-2.4945 6.89541e-07
-2.48452 6.91502e-07
-2.47454 6.94386e-07
-2.46456 6.95672e-07
-2.45458 6.9705e-07
-2.44461 7.0017e-07
-2.43463 7.01719e-07
-2.42465 7.0335e-07
-2.41467 7.05904e-07
-2.40469 7.07715e-07
-2.39472 7.09625e-07
-2.38474 7.11619e-07
-2.37476 7.13716e-07
-2.36478 7.159e-07
-2.35481 7.17374e-07
-2.34483 7.18943e-07
-2.33485 7.21432e-07
-2.32487 7.23204e-07
-2.31489 7.25892e-07
-2.30492 7.27873e-07
-2.29494 7.29171e-07
-2.28496 7.3057e-07
-2.27498 7.32891e-07
-2.265 7.35311e-07
-2.25503 7.37061e-07
-2.24505 7.3892e-07
-2.23507 7.40905e-07
-2.22509 7.43007e-07
-2.21511 7.44456e-07
-2.20514 7.46803e-07
-2.19516 7.49285e-07
-2.18518 7.51108e-07
-2.1752 7.52301e-07
-2.16522 7.54394e-07
-2.15525 7.56632e-07
-2.14527 7.58231e-07
-2.13529 7.60745e-07
-2.12531 7.62628e-07
-2.11533 7.64674e-07
-2.10536 7.66096e-07
-2.09538 7.677e-07
-2.0854 7.70925e-07
-2.07542 7.7283e-07
-2.06544 7.74139e-07
-2.05547 7.76374e-07
-2.04549 7.78746e-07
-2.03551 7.80581e-07
-2.02553 7.81834e-07
-2.01555 7.84741e-07
-2.00558 7.87065e-07
-1.9956 7.8817e-07
-1.98562 7.90862e-07
-1.97564 7.93051e-07
-1.96566 7.94699e-07
-1.95569 7.97269e-07
-1.94571 7.99309e-07
-1.93573 8.00883e-07
-1.92575 8.03339e-07
-1.91577 8.06018e-07
-1.9058 8.08197e-07
-1.89582 8.09937e-07
-1.88584 8.11869e-07
-1.87586 8.14743e-07
-1.86588 8.17135e-07
-1.85591 8.19119e-07
-1.84593 8.21324e-07
-1.83595 8.23793e-07
-1.82597 8.26489e-07
-1.81599 8.288e-07
-1.80602 8.31355e-07
-1.79604 8.3354e-07
-1.78606 8.35986e-07
-1.77608 8.38716e-07
-1.7661 8.41085e-07
-1.75613 8.44382e-07
-1.74615 8.46699e-07
-1.73617 8.49328e-07
-1.72619 8.52259e-07
-1.71621 8.54888e-07
-1.70624 8.57827e-07
-1.69626 8.605e-07
-1.68628 8.63491e-07
-1.6763 8.6684e-07
-1.66632 8.69925e-07
-1.65635 8.72786e-07
-1.64637 8.76004e-07
-1.63639 8.79024e-07
-1.62641 8.82414e-07
-1.61643 8.86219e-07
-1.60646 8.89827e-07
-1.59648 8.93296e-07
-1.5865 8.97175e-07
-1.57652 9.00944e-07
-1.56654 9.04572e-07
-1.55657 9.08697e-07
